mode,deadline_ms,induced_delay_ms,gateway_released,reason,age_at_check_ms,age_at_middleware_ms,late_at_check,late_at_middleware
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,102.787109375,,0,0
xair,100,99.0,0,deadline exceeded: elapsed 112.7ms > 100ms at release_at_publish,112.714599609375,,0,0
xair,100,92.0,0,deadline exceeded: elapsed 105.1ms > 100ms at release_at_publish,105.092041015625,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 105.7ms > 100ms at release_at_publish,105.660400390625,,0,0
xair_atomic,100,90.5,0,age_bound_exceeded_at_commit,101.17700195312,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,101.91796875,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 101.5ms > 100ms at release_at_publish,101.490478515625,,0,0
xair,100,105.0,0,deadline exceeded: elapsed 117.7ms > 100ms at release_at_publish,117.731201171875,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,100.46508789062,,0,0
xair,100,100.0,0,deadline exceeded: elapsed 112.2ms > 100ms at release_at_publish,112.14501953125,,0,0
xair,100,88.0,1,published_after_gate_recheck,99.48291015625,99.542724609375,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,116.19409179688,,0,0
xair_atomic,100,104.5,0,age_bound_exceeded_at_commit,115.68383789062,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,110.712890625,,0,0
xair,100,89.5,0,deadline exceeded: elapsed 104.3ms > 100ms at release_at_publish,104.259765625,,0,0
xair_atomic,100,97.0,0,age_bound_exceeded_at_commit,108.85107421875,,0,0
xair,100,89.0,0,deadline exceeded: elapsed 101.8ms > 100ms at release_at_publish,101.80078125,,0,0
xair,100,96.0,0,deadline exceeded: elapsed 109.1ms > 100ms at release_at_publish,109.08447265625,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,113.27905273438,,0,0
xair,100,87.0,0,deadline exceeded: elapsed 100.4ms > 100ms at release_at_publish,100.3876953125,,0,0
xair_atomic,100,104.0,0,age_bound_exceeded_at_commit,115.19116210938,,0,0
xair_atomic,100,87.0,1,authorization_committed,99.64501953125,101.4873046875,0,1
xair,100,95.0,0,deadline exceeded: elapsed 108.5ms > 100ms at release_at_publish,108.484375,,0,0
xair_atomic,100,99.5,0,age_bound_exceeded_at_commit,112.72802734375,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,111.53515625,,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,116.20288085938,,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,116.65502929688,,0,0
xair,100,91.5,0,deadline exceeded: elapsed 107.7ms > 100ms at release_at_publish,107.65087890625,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 104.2ms > 100ms at release_at_publish,104.15869140625,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,104.49829101562,,0,0
xair_atomic,100,96.0,0,age_bound_exceeded_at_commit,107.94482421875,,0,0
xair,100,88.0,0,deadline exceeded: elapsed 100.2ms > 100ms at release_at_publish,100.211181640625,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 114.4ms > 100ms at release_at_publish,114.398193359375,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,115.31005859375,,0,0
xair,100,99.5,0,deadline exceeded: elapsed 113.3ms > 100ms at release_at_publish,113.263916015625,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 114.5ms > 100ms at release_at_publish,114.519287109375,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,105.58813476562,,0,0
xair,100,103.5,0,deadline exceeded: elapsed 116.3ms > 100ms at release_at_publish,116.31982421875,,0,0
xair_atomic,100,94.0,0,age_bound_exceeded_at_commit,106.94604492188,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 100.6ms > 100ms at release_at_publish,100.6318359375,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,113.1162109375,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 114.2ms > 100ms at release_at_publish,114.239501953125,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 114.2ms > 100ms at release_at_publish,114.189208984375,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,113.11108398438,,0,0
xair,100,98.0,0,deadline exceeded: elapsed 113.1ms > 100ms at release_at_publish,113.088134765625,,0,0
xair,100,98.5,0,deadline exceeded: elapsed 111.7ms > 100ms at release_at_publish,111.657958984375,,0,0
xair,100,89.0,0,deadline exceeded: elapsed 102.8ms > 100ms at release_at_publish,102.7509765625,,0,0
xair_atomic,100,89.0,0,age_bound_exceeded_at_commit,101.873046875,,0,0
xair,100,88.0,0,deadline exceeded: elapsed 102.8ms > 100ms at release_at_publish,102.7373046875,,0,0
xair,100,95.0,0,deadline exceeded: elapsed 109.4ms > 100ms at release_at_publish,109.382080078125,,0,0
xair,100,86.0,1,published_after_gate_recheck,99.363525390625,99.3984375,0,0
xair,100,97.0,0,deadline exceeded: elapsed 110.2ms > 100ms at release_at_publish,110.174560546875,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 116.0ms > 100ms at release_at_publish,115.960205078125,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,102.64794921875,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,102.13012695312,,0,0
xair_atomic,100,97.0,0,age_bound_exceeded_at_commit,108.2080078125,,0,0
xair_atomic,100,88.0,0,age_bound_exceeded_at_commit,100.046875,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 110.6ms > 100ms at release_at_publish,110.6103515625,,0,0
