publishing_interval_ms,version_scope,intent_kind,run,trace_time_s,gateway_released,reason,e2e_latency_ms,validation_to_gate_ms,achieved_update_rate_hz
1000,readset,continuous,0,0.332,1,published_after_gate_recheck,20.074923057109118,5.217541009187698,1.0
1000,predicate,continuous,1,0.636,1,published_after_gate_recheck,18.4730370528996,4.823592025786638,1.0
1000,global,continuous,2,1.092,1,published_after_gate_recheck,18.66207178682089,5.01247588545084,1.0
1000,readset,continuous,3,1.859,1,published_after_gate_recheck,17.210847698152065,4.462174139916897,1.0
1000,readset,continuous,4,2.158,1,published_after_gate_recheck,18.96412903442979,4.776433110237122,1.0
1000,readset,continuous,5,2.523,1,published_after_gate_recheck,17.804061993956566,4.942005034536123,1.0
1000,global,discrete,6,3.15,1,published_after_gate_recheck,19.938726909458637,6.630944088101387,1.0
1000,predicate,continuous,7,3.711,1,published_after_gate_recheck,18.894517794251442,4.942926112562418,1.0
1000,global,discrete,8,4.095,1,published_after_gate_recheck,17.524397000670433,4.523698706179857,1.0
1000,global,discrete,9,4.57,1,published_after_gate_recheck,18.342671915888786,4.696934949606657,1.0
1000,predicate,discrete,10,5.358,1,published_after_gate_recheck,18.36104691028595,5.063883028924465,1.0
1000,readset,continuous,11,5.732,1,published_after_gate_recheck,18.52045487612486,5.218503065407276,1.0
1000,readset,discrete,12,6.253,1,published_after_gate_recheck,16.558322589844465,4.179061856120825,1.0
1000,readset,continuous,13,6.858,1,published_after_gate_recheck,19.45665292441845,4.595584701746702,1.0
1000,predicate,discrete,14,7.024,1,published_after_gate_recheck,18.2035812176764,5.096985027194023,1.0
1000,global,continuous,15,7.758,1,published_after_gate_recheck,17.001395113766193,4.7033061273396015,1.0
1000,readset,discrete,16,8.493,1,published_after_gate_recheck,17.892458010464907,4.517017398029566,1.0
1000,global,discrete,17,8.639,1,published_after_gate_recheck,16.822118777781725,4.230810329318047,1.0
1000,predicate,discrete,18,9.351,1,published_after_gate_recheck,21.907350979745388,5.132731981575489,1.0
1000,predicate,continuous,19,9.589,1,published_after_gate_recheck,16.916455700993538,4.30780416354537,1.0
1000,readset,continuous,20,10.19,1,published_after_gate_recheck,18.558667972683907,5.108597222715616,1.0
1000,readset,discrete,21,10.725,1,published_after_gate_recheck,18.410660326480865,4.809775855392218,1.0
1000,global,discrete,22,11.109,1,published_after_gate_recheck,18.89151195064187,4.815767053514719,1.0
1000,readset,continuous,23,11.62,1,published_after_gate_recheck,20.696760155260563,5.898528732359409,1.0
1000,predicate,continuous,24,12.166,1,published_after_gate_recheck,18.546665087342262,4.663071129471064,1.0
1000,readset,discrete,25,12.737,1,published_after_gate_recheck,18.65749293938279,4.669053014367819,1.0
