mode,deadline_ms,induced_delay_ms,gateway_released,reason,age_at_check_ms,age_at_middleware_ms,late_at_check,late_at_middleware
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,108.01391601562,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 103.3ms > 100ms at release_at_publish,103.267578125,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 105.0ms > 100ms at release_at_publish,105.005859375,,0,0
xair_atomic,100,89.0,0,age_bound_exceeded_at_commit,103.47998046875,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,112.81298828125,,0,0
xair,100,85.0,1,published_after_gate_recheck,98.993896484375,99.05126953125,0,0
xair,100,99.0,0,deadline exceeded: elapsed 111.1ms > 100ms at release_at_publish,111.07373046875,,0,0
xair,100,97.0,0,deadline exceeded: elapsed 109.9ms > 100ms at release_at_publish,109.86376953125,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 109.4ms > 100ms at release_at_publish,109.344970703125,,0,0
xair,100,88.5,0,deadline exceeded: elapsed 103.2ms > 100ms at release_at_publish,103.212158203125,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,101.796875,,0,0
xair_atomic,100,96.5,0,age_bound_exceeded_at_commit,107.48706054688,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,100.97290039062,,0,0
xair,100,86.0,1,published_after_gate_recheck,98.7705078125,98.82470703125,0,0
xair_atomic,100,102.0,0,age_bound_exceeded_at_commit,113.07299804688,,0,0
xair_atomic,100,96.0,0,age_bound_exceeded_at_commit,107.466796875,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 115.3ms > 100ms at release_at_publish,115.33837890625,,0,0
xair_atomic,100,88.0,0,age_bound_exceeded_at_commit,102.89794921875,,0,0
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,110.28295898438,,0,0
xair_atomic,100,96.5,0,age_bound_exceeded_at_commit,108.6640625,,0,0
xair,100,100.0,0,deadline exceeded: elapsed 116.2ms > 100ms at release_at_publish,116.19091796875,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 102.1ms > 100ms at release_at_publish,102.1357421875,,0,0
xair_atomic,100,89.0,0,age_bound_exceeded_at_commit,106.48583984375,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,113.35205078125,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 105.8ms > 100ms at release_at_publish,105.833740234375,,0,0
xair_atomic,100,87.5,0,age_bound_exceeded_at_commit,100.44604492188,,0,0
xair,100,104.5,0,deadline exceeded: elapsed 118.0ms > 100ms at release_at_publish,117.998291015625,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 116.8ms > 100ms at release_at_publish,116.792724609375,,0,0
xair,100,97.5,0,deadline exceeded: elapsed 111.3ms > 100ms at release_at_publish,111.28125,,0,0
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,105.7451171875,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 104.7ms > 100ms at release_at_publish,104.72705078125,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 113.6ms > 100ms at release_at_publish,113.561767578125,,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,114.25903320312,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,110.85302734375,,0,0
xair,100,95.5,0,deadline exceeded: elapsed 108.8ms > 100ms at release_at_publish,108.80712890625,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,103.12890625,,0,0
xair,100,103.5,0,deadline exceeded: elapsed 115.9ms > 100ms at release_at_publish,115.9208984375,,0,0
xair_atomic,100,85.0,1,authorization_committed,97.037109375,98.80908203125,0,0
xair,100,93.0,0,deadline exceeded: elapsed 105.5ms > 100ms at release_at_publish,105.50927734375,,0,0
xair_atomic,100,86.0,1,authorization_committed,97.680908203125,99.33935546875,0,0
xair,100,96.5,0,deadline exceeded: elapsed 110.3ms > 100ms at release_at_publish,110.282470703125,,0,0
xair_atomic,100,87.0,0,age_bound_exceeded_at_commit,100.34497070312,,0,0
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,107.78588867188,,0,0
xair_atomic,100,92.5,0,age_bound_exceeded_at_commit,104.47607421875,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 110.2ms > 100ms at release_at_publish,110.214111328125,,0,0
xair,100,87.0,1,published_after_gate_recheck,99.9462890625,99.984130859375,0,0
xair_atomic,100,95.5,0,age_bound_exceeded_at_commit,108.197265625,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 115.3ms > 100ms at release_at_publish,115.298828125,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 114.5ms > 100ms at release_at_publish,114.46435546875,,0,0
xair_atomic,100,85.5,1,authorization_committed,96.72900390625,98.44482421875,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,115.06591796875,,0,0
xair,100,86.0,1,published_after_gate_recheck,98.921875,98.954833984375,0,0
xair_atomic,100,102.0,0,age_bound_exceeded_at_commit,112.21411132812,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,111.65087890625,,0,0
xair_atomic,100,88.0,0,age_bound_exceeded_at_commit,100.57104492188,,0,0
xair,100,85.0,0,deadline exceeded: elapsed 100.5ms > 100ms at release_at_publish,100.488525390625,,0,0
xair,100,86.5,1,published_after_gate_recheck,99.02099609375,99.06103515625,0,0
xair,100,86.5,1,published_after_gate_recheck,99.2783203125,99.318603515625,0,0
xair,100,97.5,0,deadline exceeded: elapsed 111.0ms > 100ms at release_at_publish,110.954833984375,,0,0
xair,100,96.0,0,deadline exceeded: elapsed 108.9ms > 100ms at release_at_publish,108.9287109375,,0,0
xair,100,96.0,0,deadline exceeded: elapsed 108.6ms > 100ms at release_at_publish,108.63818359375,,0,0
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,108.87109375,,0,0
xair_atomic,100,104.5,0,age_bound_exceeded_at_commit,116.375,,0,0
xair_atomic,100,88.0,1,authorization_committed,99.554931640625,101.697998046875,0,1
xair,100,89.0,0,deadline exceeded: elapsed 102.2ms > 100ms at release_at_publish,102.22021484375,,0,0
xair,100,104.0,0,deadline exceeded: elapsed 117.2ms > 100ms at release_at_publish,117.14892578125,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,109.71411132812,,0,0
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,109.03002929688,,0,0
xair,100,99.5,0,deadline exceeded: elapsed 114.2ms > 100ms at release_at_publish,114.24072265625,,0,0
xair_atomic,100,85.0,1,authorization_committed,95.78125,97.551513671875,0,0
xair,100,100.0,0,deadline exceeded: elapsed 112.2ms > 100ms at release_at_publish,112.202392578125,,0,0
xair,100,97.0,0,deadline exceeded: elapsed 110.7ms > 100ms at release_at_publish,110.717041015625,,0,0
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,104.04370117188,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,118.7998046875,,0,0
xair,100,89.0,0,deadline exceeded: elapsed 103.3ms > 100ms at release_at_publish,103.244873046875,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,112.1318359375,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 114.6ms > 100ms at release_at_publish,114.60009765625,,0,0
xair_atomic,100,95.5,0,age_bound_exceeded_at_commit,107.48828125,,0,0
xair_atomic,100,92.5,0,age_bound_exceeded_at_commit,104.60791015625,,0,0
xair_atomic,100,104.5,0,age_bound_exceeded_at_commit,116.33715820312,,0,0
xair_atomic,100,88.0,0,age_bound_exceeded_at_commit,100.84814453125,,0,0
xair_atomic,100,91.5,0,age_bound_exceeded_at_commit,104.10009765625,,0,0
xair,100,87.0,1,published_after_gate_recheck,99.703369140625,99.740234375,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,100.97290039062,,0,0
xair_atomic,100,87.0,1,authorization_committed,98.60791015625,100.478515625,0,1
xair_atomic,100,93.0,0,age_bound_exceeded_at_commit,104.40771484375,,0,0
xair_atomic,100,94.0,0,age_bound_exceeded_at_commit,105.5390625,,0,0
xair_atomic,100,93.0,0,age_bound_exceeded_at_commit,104.64624023438,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,104.48193359375,,0,0
xair_atomic,100,97.0,0,age_bound_exceeded_at_commit,109.82690429688,,0,0
xair,100,98.5,0,deadline exceeded: elapsed 112.7ms > 100ms at release_at_publish,112.65771484375,,0,0
xair,100,104.0,0,deadline exceeded: elapsed 116.5ms > 100ms at release_at_publish,116.529296875,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,106.81884765625,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,102.02905273438,,0,0
xair,100,86.0,0,deadline exceeded: elapsed 104.1ms > 100ms at release_at_publish,104.099365234375,,0,0
xair,100,92.0,0,deadline exceeded: elapsed 105.3ms > 100ms at release_at_publish,105.266845703125,,0,0
xair,100,88.0,0,deadline exceeded: elapsed 101.1ms > 100ms at release_at_publish,101.051513671875,,0,0
xair_atomic,100,89.0,0,age_bound_exceeded_at_commit,100.03393554688,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,113.00219726562,,0,0
xair_atomic,100,104.0,0,age_bound_exceeded_at_commit,115.83081054688,,0,0
xair,100,92.5,0,deadline exceeded: elapsed 105.7ms > 100ms at release_at_publish,105.658935546875,,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,114.09985351562,,0,0
xair_atomic,100,105.0,0,age_bound_exceeded_at_commit,117.02001953125,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 102.6ms > 100ms at release_at_publish,102.60888671875,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,111.34790039062,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,104.21484375,,0,0
xair_atomic,100,87.5,1,authorization_committed,99.001953125,100.93017578125,0,1
xair,100,104.0,0,deadline exceeded: elapsed 117.6ms > 100ms at release_at_publish,117.537841796875,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 103.7ms > 100ms at release_at_publish,103.7109375,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 104.0ms > 100ms at release_at_publish,104.025390625,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,102.18383789062,,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,117.97021484375,,0,0
xair,100,99.5,0,deadline exceeded: elapsed 114.3ms > 100ms at release_at_publish,114.259521484375,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 114.1ms > 100ms at release_at_publish,114.08544921875,,0,0
xair,100,98.5,0,deadline exceeded: elapsed 115.0ms > 100ms at release_at_publish,114.947509765625,,0,0
xair_atomic,100,91.5,0,age_bound_exceeded_at_commit,104.45092773438,,0,0
xair_atomic,100,87.5,1,authorization_committed,99.11181640625,101.107421875,0,1
xair,100,92.5,0,deadline exceeded: elapsed 105.0ms > 100ms at release_at_publish,105.029296875,,0,0
xair_atomic,100,105.0,0,age_bound_exceeded_at_commit,120.22802734375,,0,0
xair,100,98.0,0,deadline exceeded: elapsed 112.1ms > 100ms at release_at_publish,112.076416015625,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 117.4ms > 100ms at release_at_publish,117.38427734375,,0,0
xair,100,105.0,0,deadline exceeded: elapsed 117.6ms > 100ms at release_at_publish,117.615234375,,0,0
xair,100,88.0,0,deadline exceeded: elapsed 101.0ms > 100ms at release_at_publish,100.982421875,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 110.0ms > 100ms at release_at_publish,109.95751953125,,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,114.39892578125,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 107.6ms > 100ms at release_at_publish,107.6171875,,0,0
xair_atomic,100,93.0,0,age_bound_exceeded_at_commit,104.65893554688,,0,0
