run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,50.0,control,1,0,0,0,0,,561,control,0,,1.0206447914242744,4.876540973782539,63.278809655457735,58.402268681675196,62.25816486403346,,,committed,64.532958984375,EXECUTE,authorization_committed,58.30917414277792,58.32720687612891,0.018032733350992203,4.965588916093111,,,55.04616070538759,63.27476305887103,63.29279579222202
1,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,563,563,before_check,0,,,,,57.94684402644634,59.12758968770504,9.162103291600943,10.642241220921278,changed,61.47509765625,REVOKE,read_set_version_changed_at_commit,55.27933873236179,,,4.730236250907183,4.936383105814457,12.542497366666794,55.230917409062386,60.009574983268976,
2,xair_atomic,0,,50.0,control,1,0,0,0,0,,564,control,0,,0.8199382573366165,2.3213261738419533,60.80188229680061,58.48055612295866,59.981944039464,,,committed,63.031005859375,EXECUTE,authorization_committed,55.223523173481226,55.2395130507648,0.01598987728357315,5.57522289454937,,,55.66489230841398,60.798746068030596,60.81473594531417
3,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,566,566,before_check,0,,,,,58.06215014308691,59.359805192798376,9.344125166535378,10.673560202121735,changed,61.635009765625,REVOKE,read_set_version_changed_at_commit,55.70201110094786,,,4.744884092360735,4.937945865094662,12.594203930348158,55.22676929831505,60.44689519330859,
4,xair_atomic,0,,50.0,control,1,0,0,0,0,,567,control,0,,1.11721595749259,2.5249780155718327,59.61787002161145,57.09289200603962,58.50065406411886,,,committed,61.1201171875,EXECUTE,authorization_committed,54.87090116366744,54.881752002984285,0.01085083931684494,4.7447350807487965,,,54.83162822201848,59.61563624441624,59.62648708373308
5,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,569,569,before_check,0,,,,,58.24906099587679,59.76475588977337,13.7666049413383,15.331721864640713,changed,60.89306640625,REVOKE,read_set_version_changed_at_commit,56.14102492108941,,,4.7235749661922455,4.9785529263317585,17.375918105244637,55.312289856374264,60.864599887281656,
6,xair_atomic,0,,50.0,control,1,0,0,0,0,,570,control,0,,0.9646909311413765,2.4878988042473793,59.65277599170804,57.16487718746066,58.688085060566664,,,committed,60.4541015625,EXECUTE,authorization_committed,55.025691632181406,55.04319490864873,0.017503276467323303,4.624188411980867,,,54.704159032553434,59.64988004416227,59.6673833206296
7,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,572,572,before_check,0,,,,,57.843920309096575,59.2826004140079,9.648727253079414,10.793715249747038,changed,61.0830078125,REVOKE,read_set_version_changed_at_commit,55.70719111710787,,,4.480448085814714,4.697575233876705,12.847068253904581,55.033376440405846,60.18763920292258,
8,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,574,574,before_check,0,,,,,57.96787282451987,59.1317368671298,10.892861988395452,11.88741810619831,changed,61.8779296875,REVOKE,read_set_version_changed_at_commit,54.82347309589386,,,5.300616845488548,5.386128090322018,13.926303945481777,55.540477856993675,60.12408994138241,
9,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,576,576,before_check,0,,,,,57.05123394727707,58.30730078741908,9.215184021741152,10.528088081628084,changed,59.968994140625,REVOKE,read_set_version_changed_at_commit,54.909242782741785,,,4.396471194922924,4.517267923802137,12.682850938290358,54.67861099168658,59.30571397766471,
10,xair_atomic,0,,50.0,control,1,0,0,0,0,,577,control,0,,0.8568977937102318,2.475365065038204,60.35707704722881,57.88171198219061,59.50017925351858,,,committed,61.885009765625,EXECUTE,authorization_committed,55.64998369663954,55.66668463870883,0.01670094206929207,4.702585283666849,,,54.799558129161596,60.35256898030639,60.36926992237568
11,xair_atomic,0,,50.0,control,1,0,0,0,0,,578,control,0,,1.069887075573206,2.5777569971978664,59.39111392945051,56.813356932252645,58.321226853877306,,,committed,61.092041015625,EXECUTE,authorization_committed,55.123826023191214,55.13845290988684,0.014626886695623398,4.263280890882015,,,54.33568684384227,59.38710691407323,59.40173380076885
12,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,580,580,before_check,0,,,,,58.08034399524331,60.269041918218136,10.029250755906105,11.485924944281578,changed,61.839111328125,REVOKE,read_set_version_changed_at_commit,57.041936088353395,,,4.482060670852661,4.700660705566406,13.563031796365976,55.059685837477446,61.52399675920606,
13,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,582,582,before_check,0,,,,,58.136620093137026,59.41418698057532,10.477201081812382,11.63657708093524,changed,62.2060546875,REVOKE,read_set_version_changed_at_commit,55.635074619203806,,,4.759111441671848,4.93024243041873,13.564685359597206,55.15276035293937,60.394186060875654,
14,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,584,584,before_check,0,,,,,58.45254333689809,60.08258229121566,10.270634200423956,11.501213070005178,changed,62.212890625,REVOKE,read_set_version_changed_at_commit,55.99641380831599,,,4.963895305991173,5.079010967165232,13.48660932853818,55.2867422811687,60.960309114307165,
15,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,586,586,before_check,0,,,,,59.11576794460416,60.7963721267879,10.483845137059689,11.475005187094212,changed,63.041015625,REVOKE,read_set_version_changed_at_commit,56.086513213813305,,,5.733049008995295,5.913367960602045,13.449570164084435,56.14044517278671,61.8195622228086,
16,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,588,588,before_check,0,,,,,57.76096507906914,58.99525107815862,10.51060389727354,11.630856897681952,changed,61.9140625,REVOKE,read_set_version_changed_at_commit,55.30860275030136,,,4.512066952884197,4.85578179359436,13.867763802409172,55.30590796843171,59.82066970318556,
17,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,590,590,before_check,0,,,,,58.6299360729754,60.07276428863406,10.068044066429138,11.252356227487326,changed,62.907958984375,REVOKE,read_set_version_changed_at_commit,55.86500698700547,,,5.459345411509275,5.647148005664349,13.356796000152826,55.91947911307216,61.32435239851475,
18,xair_atomic,0,,50.0,control,1,0,0,0,0,,591,control,0,,0.9138551540672779,2.2303550504148006,59.987062122672796,57.756707072257996,59.07320696860552,,,committed,61.501953125,EXECUTE,authorization_committed,54.7652430832386,54.78072213009,0.01547904685139656,5.21794194355607,,,55.29090901836753,59.98318502679467,59.99866407364607
19,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,593,593,before_check,0,,,,,57.66589706763625,59.0149681083858,9.646011982113123,10.732830967754126,changed,61.382080078125,REVOKE,read_set_version_changed_at_commit,55.33842882141471,,,4.648864269256592,4.8816208727657795,12.656742241233587,55.22551713511348,59.9872930906713,
20,xair_atomic,0,,50.0,control,1,0,0,0,0,,594,control,0,,0.9182831272482872,2.571075689047575,59.95327886193991,57.38220317289233,59.03499573469162,,,committed,60.93408203125,EXECUTE,authorization_committed,55.132241919636726,55.146277882158756,0.014035962522029877,4.817810840904713,,,54.88895485177636,59.95005276054144,59.96408872306347
21,xair_atomic,0,,50.0,control,1,0,0,0,0,,595,control,0,,0.9237229824066162,2.541709691286087,60.172810684889555,57.63110099360347,59.24908770248294,,,committed,61.35205078125,EXECUTE,authorization_committed,55.39224995300174,55.40480371564627,0.012553762644529343,4.7775148414075375,,,54.85517159104347,60.169764794409275,60.182318557053804
