run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,0.0,control,1,0,0,0,0,,1331,control,0,,0.9115799330174923,2.137690782546997,9.324363898485899,7.186673115938902,8.412783965468407,,,committed,10.72998046875,EXECUTE,authorization_committed,4.681683145463467,4.695900250226259,0.014217104762792587,4.639253951609135,,,4.646017216145992,9.320937097072601,9.335154201835394
1,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,1333,1332,after_check,0,after_middleware,1.0095839388668537,2.12803203612566,9.087189100682735,6.9591570645570755,8.077605161815882,10.637888219207525,11.69952005147934,committed,10.388916015625,EXECUTE,authorization_committed,4.586284048855305,4.598015919327736,0.011731870472431183,4.49753925204277,4.579542204737663,13.585228007286787,4.67468099668622,9.083823300898075,9.095555171370506
2,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1335,1335,before_check,0,,,,,12.20216229557991,13.995056971907616,10.105348657816648,11.308996938169003,changed,15.531005859375,REVOKE,read_set_version_changed_at_commit,10.088336654007435,,,4.931272007524967,5.141416098922491,13.10028787702322,5.398918874561787,15.019608661532402,
3,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,1337,1336,after_check,0,after_middleware,0.9854491800069809,2.0071761682629585,9.18215699493885,7.174980826675892,8.19670781493187,10.942458640784025,12.136538978666067,committed,10.4150390625,EXECUTE,authorization_committed,4.658800084143877,4.672496113926172,0.013696029782295227,4.52047074213624,4.644713830202818,14.471168629825115,4.781950730830431,9.179270826280117,9.192966856062412
4,xair_atomic,0,,0.0,control,1,0,0,0,0,,1338,control,0,,0.6650877185165882,1.853467896580696,8.444713894277811,6.591245997697115,7.779626175761223,,,committed,10.174072265625,EXECUTE,authorization_committed,3.777266014367342,3.7904209457337856,0.013154931366443634,4.664021078497171,,,4.670934285968542,8.441287092864513,8.454442024230957
5,xair_atomic,0,,0.0,control,1,0,0,0,0,,1339,control,0,,0.9165504015982151,2.031732350587845,8.573385421186686,6.541653070598841,7.6568350195884705,,,committed,10.1201171875,EXECUTE,authorization_committed,4.033868201076984,4.047103226184845,0.013235025107860565,4.535870160907507,,,4.541661124676466,8.569738361984491,8.582973387092352
6,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1341,1341,before_check,0,,,,,11.014875024557114,12.55440292879939,8.678402286022902,9.870667941868305,changed,14.131103515625,REVOKE,read_set_version_changed_at_commit,8.893614634871483,,,4.545598290860653,4.639734979718924,11.82980416342616,4.735664930194616,13.439212925732136,
7,xair_atomic,0,,0.0,control,1,0,0,0,0,,1342,control,0,,0.8852598257362843,2.3972666822373867,9.058583993464708,6.661317311227322,8.173324167728424,,,committed,10.4619140625,EXECUTE,authorization_committed,4.4109150767326355,4.423548933118582,0.012633856385946274,4.644423257559538,,,4.649272188544273,9.055338334292173,9.06797219067812
8,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1344,1344,before_check,0,,,,,11.995394714176655,13.34768207743764,9.306770749390125,10.707758832722902,changed,15.513916015625,REVOKE,read_set_version_changed_at_commit,9.805726818740368,,,4.347546026110649,4.510862752795219,12.95412378385663,4.67589171603322,14.153272844851017,
9,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1346,1346,before_check,0,,,,,12.693854980170727,13.883186038583517,10.155823081731796,11.497260071337223,changed,15.9130859375,REVOKE,read_set_version_changed_at_commit,10.025899857282639,,,4.815454129129648,4.913719370961189,13.761869166046381,5.024887155741453,14.841353986412287,
