run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,562,562,before_check,0,,,,,58.64293221384287,62.8298269584775,9.326959028840065,10.819288901984692,changed,64.611083984375,REVOKE,read_set_version_changed_at_commit,59.12273097783327,,,4.612775053828955,4.850440192967653,13.208109885454178,55.23499799892306,63.735506031662226,
1,xair_atomic,0,,50.0,control,1,0,0,0,0,,563,control,0,,1.038248185068369,2.5540823116898537,58.832406997680664,56.27832468599081,57.794158812612295,,,committed,60.574951171875,EXECUTE,authorization_committed,54.72792638465762,54.74902596324682,0.021099578589200974,4.100071731954813,,,54.171331692487,58.827998116612434,58.849097695201635
2,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,565,565,before_check,0,,,,,57.7989281155169,59.08852722495794,9.14966594427824,10.055856313556433,changed,61.180908203125,REVOKE,read_set_version_changed_at_commit,55.74406310915947,,,4.548293072730303,4.682034254074097,11.993621941655874,54.875182919204235,60.29235618188977,
3,xair_atomic,0,,50.0,control,1,0,0,0,0,,566,control,0,,0.9981729090213776,2.5168717838823795,59.73092280328274,57.21405101940036,58.73274989426136,,,committed,61.284912109375,EXECUTE,authorization_committed,55.0186219625175,55.0379678606987,0.019345898181200027,4.708042833954096,,,54.778681602329016,59.726664796471596,59.746010694652796
4,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,568,568,before_check,0,,,,,58.322420343756676,59.61746023967862,10.293552186340094,11.325377970933914,changed,62.450927734375,REVOKE,read_set_version_changed_at_commit,55.21734384819865,,,5.437612067908049,5.603413097560406,13.202209025621414,55.878784973174334,60.6549559161067,
5,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,570,570,before_check,0,,,,,57.93666606768966,59.48679381981492,9.999128989875317,11.275404132902622,changed,61.162109375,REVOKE,read_set_version_changed_at_commit,55.33553613349795,,,4.960997030138969,5.09627116844058,13.276497833430767,55.26616610586643,60.29653316363692,
6,xair_atomic,0,,50.0,control,1,0,0,0,0,,571,control,0,,1.118347980082035,2.4564689956605434,59.75900497287512,57.302535977214575,58.64065699279308,,,committed,61.337890625,EXECUTE,authorization_committed,54.952967911958694,54.97015966102481,0.017191749066114426,4.80195926502347,,,54.88126398995519,59.754927176982164,59.77211892604828
7,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,573,573,before_check,0,,,,,56.81124422699213,57.92097607627511,9.159815032035112,10.248798411339521,changed,60.31005859375,REVOKE,read_set_version_changed_at_commit,54.477165918797255,,,4.22755116596818,4.359248094260693,12.363225221633911,54.5334811322391,58.704717084765434,
8,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,575,575,before_check,0,,,,,56.957018095999956,58.315396308898926,9.263379033654928,10.414248332381248,changed,60.262939453125,REVOKE,read_set_version_changed_at_commit,54.73847594112158,,,4.605981055647135,4.726487211883068,12.681011110544205,54.90628117695451,59.34445699676871,
9,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,577,577,before_check,0,,,,,57.275315281003714,58.40100720524788,9.059787262231112,10.20872313529253,changed,61.541015625,REVOKE,read_set_version_changed_at_commit,54.84549701213837,,,4.506314173340797,4.652819130569696,12.176083866506815,54.822664242237806,59.351811185479164,
