version_scope,pattern,target_rate_hz,run,gateway_released,outcome,reason,e2e_latency_ms,validation_to_gate_ms,achieved_rate_hz,goodput_ips
global,unrelated,0,0,1,EXECUTE,published_after_gate_recheck,14.667889103293419,3.8275611586868763,0.0,64.7095032412455
global,unrelated,0,1,1,EXECUTE,published_after_gate_recheck,15.568798873573542,4.5297592878341675,0.0,64.7095032412455
global,unrelated,0,2,1,EXECUTE,published_after_gate_recheck,17.019511200487614,4.624234978109598,0.0,64.7095032412455
global,unrelated,0,3,1,EXECUTE,published_after_gate_recheck,14.682305045425892,3.826838918030262,0.0,64.7095032412455
global,unrelated,0,4,1,EXECUTE,published_after_gate_recheck,14.795497991144657,4.509089048951864,0.0,64.7095032412455
global,unrelated,0,5,1,EXECUTE,published_after_gate_recheck,13.664526399224997,4.152930807322264,0.0,64.7095032412455
global,unrelated,0,6,1,EXECUTE,published_after_gate_recheck,13.919624965637922,4.112685099244118,0.0,64.7095032412455
global,unrelated,0,7,1,EXECUTE,published_after_gate_recheck,14.543043915182352,4.109530244022608,0.0,64.7095032412455
global,unrelated,0,8,1,EXECUTE,published_after_gate_recheck,13.72476015239954,3.989615011960268,0.0,64.7095032412455
global,unrelated,0,9,1,EXECUTE,published_after_gate_recheck,14.239524956792593,4.064194858074188,0.0,64.7095032412455
global,unrelated,0,10,1,EXECUTE,published_after_gate_recheck,14.436354860663414,4.414761904627085,0.0,64.7095032412455
global,unrelated,0,11,1,EXECUTE,published_after_gate_recheck,14.379817992448807,4.259502049535513,0.0,64.7095032412455
global,unrelated,0,12,1,EXECUTE,published_after_gate_recheck,15.522622037678957,4.073412157595158,0.0,64.7095032412455
global,unrelated,0,13,1,EXECUTE,published_after_gate_recheck,14.212112873792648,3.791232593357563,0.0,64.7095032412455
global,unrelated,0,14,1,EXECUTE,published_after_gate_recheck,14.397360850125551,3.9355140179395676,0.0,64.7095032412455
global,unrelated,0,15,1,EXECUTE,published_after_gate_recheck,15.153279062360525,3.993322141468525,0.0,64.7095032412455
global,unrelated,0,16,1,EXECUTE,published_after_gate_recheck,14.56074696034193,4.1228849440813065,0.0,64.7095032412455
global,unrelated,0,17,1,EXECUTE,published_after_gate_recheck,13.814438134431839,4.120421130210161,0.0,64.7095032412455
global,unrelated,0,18,1,EXECUTE,published_after_gate_recheck,17.672244925051928,4.763005767017603,0.0,64.7095032412455
global,unrelated,0,19,1,EXECUTE,published_after_gate_recheck,15.418366994708776,3.932658117264509,0.0,64.7095032412455
global,unrelated,0,20,1,EXECUTE,published_after_gate_recheck,15.887156128883362,4.651647061109543,0.0,64.7095032412455
global,unrelated,0,21,1,EXECUTE,published_after_gate_recheck,14.509311877191067,3.780562896281481,0.0,64.7095032412455
global,unrelated,0,22,1,EXECUTE,published_after_gate_recheck,14.56077815964818,4.217412788420916,0.0,64.7095032412455
global,unrelated,0,23,1,EXECUTE,published_after_gate_recheck,14.73757904022932,3.942756913602352,0.0,64.7095032412455
global,unrelated,0,24,1,EXECUTE,published_after_gate_recheck,16.168994829058647,4.627050831913948,0.0,64.7095032412455
global,unrelated,0,25,1,EXECUTE,published_after_gate_recheck,15.077326912432909,4.337057005614042,0.0,64.7095032412455
global,unrelated,0,26,1,EXECUTE,published_after_gate_recheck,14.761374332010746,3.8652620278298855,0.0,64.7095032412455
global,unrelated,0,27,1,EXECUTE,published_after_gate_recheck,15.05295094102621,4.204557742923498,0.0,64.7095032412455
global,unrelated,0,28,1,EXECUTE,published_after_gate_recheck,14.328761957585812,4.118145909160376,0.0,64.7095032412455
global,unrelated,0,29,1,EXECUTE,published_after_gate_recheck,14.288356993347406,3.996036946773529,0.0,64.7095032412455
global,unrelated,0,30,1,EXECUTE,published_after_gate_recheck,14.402430970221758,4.0897829458117485,0.0,64.7095032412455
global,unrelated,0,31,1,EXECUTE,published_after_gate_recheck,13.64960940554738,4.092909395694733,0.0,64.7095032412455
global,unrelated,0,32,1,EXECUTE,published_after_gate_recheck,13.637977186590433,3.748321905732155,0.0,64.7095032412455
global,unrelated,0,33,1,EXECUTE,published_after_gate_recheck,13.521958608180285,4.076578188687563,0.0,64.7095032412455
global,unrelated,0,34,1,EXECUTE,published_after_gate_recheck,14.641980174928904,4.079093225300312,0.0,64.7095032412455
global,unrelated,0,35,1,EXECUTE,published_after_gate_recheck,14.221902005374432,4.231147933751345,0.0,64.7095032412455
global,unrelated,0,36,1,EXECUTE,published_after_gate_recheck,17.578779719769955,4.823269788175821,0.0,64.7095032412455
global,unrelated,0,37,1,EXECUTE,published_after_gate_recheck,15.6903057359159,4.808411002159119,0.0,64.7095032412455
global,unrelated,0,38,1,EXECUTE,published_after_gate_recheck,14.743880834430456,4.2493632063269615,0.0,64.7095032412455
global,unrelated,0,39,1,EXECUTE,published_after_gate_recheck,15.558500308543444,4.786610137671232,0.0,64.7095032412455
global,unrelated,0,40,1,EXECUTE,published_after_gate_recheck,15.20060794427991,4.3130917474627495,0.0,64.7095032412455
global,unrelated,0,41,1,EXECUTE,published_after_gate_recheck,14.925252180546522,4.133464768528938,0.0,64.7095032412455
global,unrelated,0,42,1,EXECUTE,published_after_gate_recheck,14.429801609367132,4.055408760905266,0.0,64.7095032412455
global,unrelated,0,43,1,EXECUTE,published_after_gate_recheck,13.951153960078955,3.9820512756705284,0.0,64.7095032412455
global,unrelated,0,44,1,EXECUTE,published_after_gate_recheck,14.36559110879898,4.382201936095953,0.0,64.7095032412455
global,unrelated,0,45,1,EXECUTE,published_after_gate_recheck,15.463531017303467,3.991308156400919,0.0,64.7095032412455
global,unrelated,0,46,1,EXECUTE,published_after_gate_recheck,15.670469962060452,4.478271119296551,0.0,64.7095032412455
global,unrelated,0,47,1,EXECUTE,published_after_gate_recheck,15.9470378421247,4.354279022663832,0.0,64.7095032412455
global,unrelated,0,48,1,EXECUTE,published_after_gate_recheck,15.285697765648365,4.118126351386309,0.0,64.7095032412455
global,unrelated,0,49,1,EXECUTE,published_after_gate_recheck,15.378963202238083,4.153161775320768,0.0,64.7095032412455
global,unrelated,0,50,1,EXECUTE,published_after_gate_recheck,15.842612832784653,4.492938984185457,0.0,64.7095032412455
global,unrelated,0,51,1,EXECUTE,published_after_gate_recheck,15.343895647674799,3.9962572045624256,0.0,64.7095032412455
global,unrelated,0,52,1,EXECUTE,published_after_gate_recheck,15.275078359991312,4.121202044188976,0.0,64.7095032412455
global,unrelated,0,53,1,EXECUTE,published_after_gate_recheck,15.412596054375172,4.636499099433422,0.0,64.7095032412455
global,unrelated,0,54,1,EXECUTE,published_after_gate_recheck,15.576424077153206,4.251697100698948,0.0,64.7095032412455
global,unrelated,0,55,1,EXECUTE,published_after_gate_recheck,14.463736210018396,4.173219203948975,0.0,64.7095032412455
global,unrelated,0,56,1,EXECUTE,published_after_gate_recheck,14.776141848415136,3.92898079007864,0.0,64.7095032412455
