run,baseline,valid_intent,outcome,reason,gateway_released,wrongful_revoke,e2e_latency_ms
95,local,1,EXECUTE,local_guard_passed,1,0,7.011563051491976
96,local,1,EXECUTE,local_guard_passed,1,0,8.026427123695612
97,local,1,EXECUTE,local_guard_passed,1,0,7.869322318583727
98,local,1,EXECUTE,local_guard_passed,1,0,9.347544983029366
99,local,1,EXECUTE,local_guard_passed,1,0,7.587042171508074
0,xair,1,EXECUTE,published_after_gate_recheck,1,0,18.007850740104914
1,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.19505838304758
2,xair,1,EXECUTE,published_after_gate_recheck,1,0,18.41777889057994
3,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.236783634871244
4,xair,1,EXECUTE,published_after_gate_recheck,1,0,18.51055398583412
5,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.825683414936066
6,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.228766947984695
7,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.67607605829835
8,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.430141404271126
9,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.42815675586462
10,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.817020554095507
11,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.439117956906557
12,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.295074183493853
13,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.39321695640683
14,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.40234887599945
15,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.448640894144773
16,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.865427140146494
17,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.662004075944424
18,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.53802301734686
19,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.159854363650084
20,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.158956870436668
21,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.373861744999886
22,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.757731024175882
23,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.894685871899128
24,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.781505033373833
25,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.115461010485888
26,xair,1,EXECUTE,published_after_gate_recheck,1,0,18.154466059058905
27,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.463063191622496
28,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.06204127892852
29,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.478168915957212
30,xair,1,EXECUTE,published_after_gate_recheck,1,0,18.453306052833796
31,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.651830937713385
32,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.985026024281979
33,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.952474903315306
34,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.357384622097015
35,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.269353985786438
36,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.819491982460022
37,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.522648114711046
38,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.022920910269022
39,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.33939503133297
40,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.507800970226526
41,xair,1,EXECUTE,published_after_gate_recheck,1,0,18.13907688483596
42,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.528957057744265
43,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.434743836522102
44,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.042387880384922
45,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.539401210844517
46,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.397725161164999
47,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.862646978348494
48,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.78806310519576
49,xair,1,EXECUTE,published_after_gate_recheck,1,0,20.376455038785934
50,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.776650678366423
51,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.888268895447254
52,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.197058208286762
53,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.657000709325075
54,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.725799836218357
55,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.40011416748166
56,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.11552683264017
57,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.869484912604094
58,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.582046169787645
59,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.174971263855696
60,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.516618266701698
61,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.637237880378962
62,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.180903650820255
63,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.3507967479527
64,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.120754949748516
65,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.730598010122776
66,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.173359006643295
67,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.0306960567832
68,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.934584964066744
69,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.537839245051146
70,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.598110854625702
71,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.792794991284609
72,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.748176094144583
73,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.217836946249008
74,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.449857968837023
75,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.152699943631887
76,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.05506569892168
77,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.892448998987675
78,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.562739852815866
79,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.601823270320892
80,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.585577115416527
81,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.789693988859653
82,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.195659197866917
83,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.137200079858303
84,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.701047912240028
85,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.083236947655678
86,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.258255276829004
87,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.343011822551489
88,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.883085317909718
89,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.359202865511179
90,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.845279045403004
91,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.394348185509443
92,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.880214352160692
93,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.089395921677351
94,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.087126918137074
95,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.86693076044321
96,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.925808645784855
97,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.57857482880354
98,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.340930178761482
99,xair,1,EXECUTE,published_after_gate_recheck,1,0,20.708967931568623
