scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,37,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.9893238097429276,218.389,200,1000,2026-09-24T22:14:18.463981+00:00
e1b,38,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.894625999033451,218.604,200,1000,2026-09-24T22:14:18.744056+00:00
e1b,39,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.8030038811266422,219.215,200,1000,2026-09-24T22:14:19.025417+00:00
e1b,40,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0992492102086544,227.443,200,1000,2026-09-24T22:14:19.315154+00:00
e1b,41,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1733689829707146,219.39,200,1000,2026-09-24T22:14:19.602060+00:00
e1b,42,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.4624598920345306,221.149,200,1000,2026-09-24T22:14:19.886628+00:00
e1b,43,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.213253803551197,221.165,200,1000,2026-09-24T22:14:20.170499+00:00
e1b,44,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.316087182611227,220.56,200,1000,2026-09-24T22:14:20.453335+00:00
e1b,45,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1649726442992687,220.661,200,1000,2026-09-24T22:14:20.736122+00:00
e1b,46,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.585320897400379,221.956,200,1000,2026-09-24T22:14:21.021145+00:00
e1b,47,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,4.365944303572178,220.776,200,1000,2026-09-24T22:14:21.304157+00:00
e1b,48,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.829334232956171,220.238,200,1000,2026-09-24T22:14:21.585190+00:00
e1b,49,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.264850005507469,220.096,200,1000,2026-09-24T22:14:21.866271+00:00
e1b,50,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.944500185549259,219.449,200,1000,2026-09-24T22:14:22.146815+00:00
e1b,51,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0140699818730354,219.303,200,1000,2026-09-24T22:14:22.427864+00:00
e1b,52,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.416443709284067,221.09,200,1000,2026-09-24T22:14:22.710721+00:00
e1b,53,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.288594074547291,219.713,200,1000,2026-09-24T22:14:22.991676+00:00
e1b,54,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1826565973460674,219.636,200,1000,2026-09-24T22:14:23.272274+00:00
e1b,55,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0158832669258118,220.392,200,1000,2026-09-24T22:14:23.553463+00:00
e1b,56,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.5707340575754642,220.109,200,1000,2026-09-24T22:14:23.835241+00:00
e1b,57,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.577526193112135,219.792,200,1000,2026-09-24T22:14:24.117040+00:00
e1b,58,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.2172012142837048,219.179,200,1000,2026-09-24T22:14:24.398284+00:00
e1b,59,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1214109621942043,221.038,200,1000,2026-09-24T22:14:24.681805+00:00
e1b,60,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.7572127766907215,224.222,200,1000,2026-09-24T22:14:24.968446+00:00
e1b,61,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0242190696299076,220.456,200,1000,2026-09-24T22:14:25.250977+00:00
e1b,62,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.2458240166306496,219.714,200,1000,2026-09-24T22:14:25.533448+00:00
e1b,63,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.9725818894803524,219.962,200,1000,2026-09-24T22:14:25.814810+00:00
e1b,64,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.002077341079712,221.916,200,1000,2026-09-24T22:14:26.098549+00:00
e1b,65,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.831552341580391,221.721,200,1000,2026-09-24T22:14:26.382557+00:00
e1b,66,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.5350960679352283,221.436,200,1000,2026-09-24T22:14:26.666585+00:00
e1b,67,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.622415777295828,218.629,200,1000,2026-09-24T22:14:26.947808+00:00
e1b,68,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1161410734057426,219.515,200,1000,2026-09-24T22:14:27.229160+00:00
e1b,69,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.485573921352625,222.181,200,1000,2026-09-24T22:14:27.514520+00:00
e1b,70,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.572071272879839,220.393,200,1000,2026-09-24T22:14:27.797583+00:00
e1b,71,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.686095889657736,220.639,200,1000,2026-09-24T22:14:28.079152+00:00
