mode,deadline_ms,induced_delay_ms,gateway_released,reason,age_at_check_ms,age_at_middleware_ms,late_at_check,late_at_middleware
xair,100,97.5,0,deadline exceeded: elapsed 111.3ms > 100ms at release_at_publish,111.326416015625,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,105.3330078125,,0,0
xair,100,94.0,0,deadline exceeded: elapsed 107.8ms > 100ms at release_at_publish,107.76220703125,,0,0
xair,100,99.0,0,deadline exceeded: elapsed 119.3ms > 100ms at release_at_publish,119.334228515625,,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,115.52709960938,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 103.4ms > 100ms at release_at_publish,103.430419921875,,0,0
xair,100,93.0,0,deadline exceeded: elapsed 107.0ms > 100ms at release_at_publish,106.944091796875,,0,0
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,103.5380859375,,0,0
xair_atomic,100,101.5,0,age_bound_exceeded_at_commit,113.33203125,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,112.19604492188,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 106.0ms > 100ms at release_at_publish,105.98193359375,,0,0
xair,100,91.5,0,deadline exceeded: elapsed 110.0ms > 100ms at release_at_publish,109.986328125,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 109.8ms > 100ms at release_at_publish,109.799072265625,,0,0
xair_atomic,100,104.5,0,age_bound_exceeded_at_commit,119.09985351562,,0,0
xair,100,89.5,0,deadline exceeded: elapsed 103.9ms > 100ms at release_at_publish,103.853759765625,,0,0
xair,100,105.0,0,deadline exceeded: elapsed 122.6ms > 100ms at release_at_publish,122.562744140625,,0,0
xair_atomic,100,95.5,0,age_bound_exceeded_at_commit,107.52709960938,,0,0
xair,100,88.0,0,deadline exceeded: elapsed 102.0ms > 100ms at release_at_publish,101.972412109375,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 118.1ms > 100ms at release_at_publish,118.058349609375,,0,0
xair,100,95.5,0,deadline exceeded: elapsed 110.7ms > 100ms at release_at_publish,110.676025390625,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,115.35620117188,,0,0
xair_atomic,100,102.0,0,age_bound_exceeded_at_commit,114.66796875,,0,0
xair,100,88.5,0,deadline exceeded: elapsed 103.2ms > 100ms at release_at_publish,103.19482421875,,0,0
xair,100,102.0,0,deadline exceeded: elapsed 116.3ms > 100ms at release_at_publish,116.299072265625,,0,0
xair,100,104.5,0,deadline exceeded: elapsed 118.9ms > 100ms at release_at_publish,118.93603515625,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,111.59301757812,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 116.6ms > 100ms at release_at_publish,116.62744140625,,0,0
xair,100,103.0,0,deadline exceeded: elapsed 116.1ms > 100ms at release_at_publish,116.114501953125,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,112.8828125,,0,0
xair,100,94.5,0,deadline exceeded: elapsed 110.4ms > 100ms at release_at_publish,110.3642578125,,0,0
xair_atomic,100,92.5,0,age_bound_exceeded_at_commit,105.30200195312,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 101.1ms > 100ms at release_at_publish,101.0947265625,,0,0
xair_atomic,100,105.0,0,age_bound_exceeded_at_commit,116.77978515625,,0,0
xair_atomic,100,88.0,0,age_bound_exceeded_at_commit,100.07202148438,,0,0
xair_atomic,100,98.5,0,age_bound_exceeded_at_commit,111.0810546875,,0,0
xair,100,98.5,0,deadline exceeded: elapsed 114.8ms > 100ms at release_at_publish,114.77099609375,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 104.5ms > 100ms at release_at_publish,104.519287109375,,0,0
xair_atomic,100,85.0,1,authorization_committed,96.869140625,98.7021484375,0,0
xair,100,92.5,0,deadline exceeded: elapsed 107.3ms > 100ms at release_at_publish,107.259765625,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,103.69091796875,,0,0
xair,100,92.0,0,deadline exceeded: elapsed 110.3ms > 100ms at release_at_publish,110.327880859375,,0,0
xair_atomic,100,86.5,1,authorization_committed,99.071044921875,100.67041015625,0,1
xair,100,87.5,0,deadline exceeded: elapsed 102.1ms > 100ms at release_at_publish,102.109375,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,101.81494140625,,0,0
xair_atomic,100,87.0,1,authorization_committed,98.115234375,99.968994140625,0,0
xair_atomic,100,85.0,1,authorization_committed,96.052978515625,97.9462890625,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,100.63110351562,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,112.369140625,,0,0
xair_atomic,100,85.0,1,authorization_committed,97.487060546875,99.714599609375,0,0
xair,100,97.5,0,deadline exceeded: elapsed 112.0ms > 100ms at release_at_publish,112.016357421875,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 100.3ms > 100ms at release_at_publish,100.2890625,,0,0
xair,100,91.5,0,deadline exceeded: elapsed 105.7ms > 100ms at release_at_publish,105.682373046875,,0,0
xair,100,99.0,0,deadline exceeded: elapsed 112.1ms > 100ms at release_at_publish,112.111328125,,0,0
xair_atomic,100,85.5,1,authorization_committed,97.947021484375,100.07861328125,0,1
xair_atomic,100,94.0,0,age_bound_exceeded_at_commit,107.37719726562,,0,0
xair,100,85.5,0,deadline exceeded: elapsed 103.3ms > 100ms at release_at_publish,103.33154296875,,0,0
xair,100,90.5,0,deadline exceeded: elapsed 103.7ms > 100ms at release_at_publish,103.732666015625,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,112.21997070312,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,100.873046875,,0,0
xair_atomic,100,101.5,0,age_bound_exceeded_at_commit,114.208984375,,0,0
xair_atomic,100,87.0,1,authorization_committed,98.455810546875,100.8837890625,0,1
xair_atomic,100,93.0,0,age_bound_exceeded_at_commit,105.72290039062,,0,0
xair_atomic,100,91.5,0,age_bound_exceeded_at_commit,104.287109375,,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,115.07788085938,,0,0
xair,100,100.0,0,deadline exceeded: elapsed 113.3ms > 100ms at release_at_publish,113.296875,,0,0
xair,100,87.0,0,deadline exceeded: elapsed 101.7ms > 100ms at release_at_publish,101.709228515625,,0,0
xair_atomic,100,94.0,0,age_bound_exceeded_at_commit,105.419921875,,0,0
xair_atomic,100,104.0,0,age_bound_exceeded_at_commit,116.17797851562,,0,0
xair,100,95.0,0,deadline exceeded: elapsed 107.4ms > 100ms at release_at_publish,107.426513671875,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 113.3ms > 100ms at release_at_publish,113.32080078125,,0,0
xair,100,90.0,0,deadline exceeded: elapsed 107.0ms > 100ms at release_at_publish,107.025390625,,0,0
xair,100,86.0,0,deadline exceeded: elapsed 102.0ms > 100ms at release_at_publish,102.009521484375,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,111.55102539062,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 110.6ms > 100ms at release_at_publish,110.63671875,,0,0
xair_atomic,100,88.0,1,authorization_committed,99.18896484375,101.170654296875,0,1
xair,100,90.0,0,deadline exceeded: elapsed 103.5ms > 100ms at release_at_publish,103.510498046875,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 108.8ms > 100ms at release_at_publish,108.84423828125,,0,0
