run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
24,xair_atomic,0,,0.0,control,1,0,0,0,0,,44,control,0,EXECUTE,atomic_actuation_committed,6.676109042018652,6.688733119517565,0.012624077498912811,5.137101747095585,,,5.145948845893145,11.813210789114237,11.82583486661315
25,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,46,46,before_check,0,REVOKE,read_set_version_changed_at_actuation,11.782543268054724,,,4.68929298222065,4.824616946280003,12.92063808068633,4.936326295137405,16.471836250275373,
26,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,48,47,after_check,0,EXECUTE,atomic_actuation_committed,6.942206993699074,6.952817086130381,0.010610092431306839,5.0790137611329556,5.224466789513826,16.539803706109524,5.37995807826519,12.02122075483203,12.031830847263336
27,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,50,50,before_check,0,REVOKE,read_set_version_changed_at_actuation,11.724133975803852,,,4.585328046232462,4.717725794762373,12.799580115824938,4.866454750299454,16.309462022036314,
28,xair_atomic,0,,0.0,control,1,0,0,0,0,,51,control,0,EXECUTE,atomic_actuation_committed,6.283772643655539,6.294251885265112,0.010479241609573364,4.333124961704016,,,4.3403576128184795,10.616897605359554,10.627376846969128
29,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,53,53,before_check,0,REVOKE,read_set_version_changed_at_actuation,11.949867010116577,,,5.3556221537292,5.5266330018639565,13.863364700227976,5.7327887043356895,17.305489163845778,
30,xair_atomic,0,,0.0,control,1,0,0,0,0,,54,control,0,EXECUTE,atomic_actuation_committed,6.912352051585913,6.922811269760132,0.010459218174219131,4.8035369254648685,,,4.808255936950445,11.715888977050781,11.726348195225
31,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,56,56,before_check,0,REVOKE,read_set_version_changed_at_actuation,12.360447086393833,,,4.96346689760685,5.155937746167183,13.802881818264723,5.3141750395298,17.323913984000683,
32,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,58,58,before_check,0,REVOKE,read_set_version_changed_at_actuation,12.283682823181152,,,4.819246008992195,5.050599575042725,13.530009891837835,5.315135698765516,17.102928832173347,
33,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,60,60,before_check,0,REVOKE,read_set_version_changed_at_actuation,13.512017205357552,,,5.693566054105759,6.029967218637466,15.281475149095058,6.532710045576096,19.20558325946331,
34,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,62,62,before_check,0,REVOKE,read_set_version_changed_at_actuation,13.371152803301811,,,6.5612830221652985,6.967685185372829,16.33608201518655,7.47265201061964,19.93243582546711,
35,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,64,63,after_check,0,EXECUTE,atomic_actuation_committed,8.616236969828606,8.630272932350636,0.014035962522029877,6.790182087570429,6.966613233089447,21.78699290379882,7.2900899685919285,15.406419057399035,15.420455019921064
36,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,66,65,after_check,0,EXECUTE,atomic_actuation_committed,7.973121013492346,7.987076882272959,0.013955868780612946,6.308318115770817,6.4650122076272964,19.419323187321424,6.6419942304492,14.281439129263163,14.295394998043776
37,xair_atomic,0,,0.0,control,1,0,0,0,0,,67,control,0,EXECUTE,atomic_actuation_committed,7.478092331439257,7.491718046367168,0.013625714927911758,5.6334929540753365,,,5.643792916089296,13.111585285514593,13.125211000442505
38,xair_atomic,0,,0.0,control,1,0,0,0,0,,68,control,0,EXECUTE,atomic_actuation_committed,9.341927245259285,9.354711044579744,0.012783799320459366,6.527930963784456,,,6.537959910929203,15.869858209043741,15.8826420083642
39,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,70,70,before_check,0,REVOKE,read_set_version_changed_at_actuation,10.816622991114855,,,4.713607951998711,4.812553990632296,17.14289467781782,4.914805758744478,15.530230943113565,
40,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,72,71,after_check,0,EXECUTE,atomic_actuation_committed,6.4771948382258415,6.485580932348967,0.008386094123125076,5.040030926465988,6.188543979078531,16.368201933801174,5.1390561275184155,11.51722576469183,11.525611858814955
41,xair_atomic,0,,0.0,control,1,0,0,0,0,,73,control,0,EXECUTE,atomic_actuation_committed,7.166778203099966,7.177127059549093,0.010348856449127197,4.559249617159367,,,4.564779810607433,11.726027820259333,11.73637667670846
42,xair_atomic,0,,0.0,control,1,0,0,0,0,,74,control,0,EXECUTE,atomic_actuation_committed,6.333415862172842,6.3406797125935555,0.007263850420713425,4.846337251365185,,,4.850083962082863,11.179753113538027,11.18701696395874
43,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,76,75,after_check,0,EXECUTE,atomic_actuation_committed,6.449773907661438,6.4584799110889435,0.008706003427505493,4.227566998451948,5.433167796581984,15.78566012904048,4.380594007670879,10.677340906113386,10.686046909540892
44,xair_atomic,0,,0.0,control,1,0,0,0,0,,77,control,0,EXECUTE,atomic_actuation_committed,6.850164849311113,6.862698122859001,0.012533273547887802,4.833633080124855,,,4.840486217290163,11.683797929435968,11.696331202983856
45,xair_atomic,0,,0.0,control,1,0,0,0,0,,78,control,0,EXECUTE,atomic_actuation_committed,6.228008773177862,6.239058915525675,0.011050142347812653,4.767860285937786,,,4.780143033713102,10.995869059115648,11.006919201463461
46,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,80,79,after_check,0,EXECUTE,atomic_actuation_committed,6.707547232508659,6.719299126416445,0.011751893907785416,4.823415074497461,5.979773122817278,16.501001082360744,4.923311993479729,11.53096230700612,11.542714200913906
47,xair_atomic,1,1.0,0.0,concurrent,1,0,0,0,1,82,81,after_check,0,EXECUTE,atomic_actuation_committed,7.9939397983253,8.005151059478521,0.01121126115322113,4.559459164738655,6.799269001930952,17.134469002485275,5.747978109866381,12.553398963063955,12.564610224217176
