publishing_interval_ms,version_scope,intent_kind,run,trace_time_s,gateway_released,reason,e2e_latency_ms,validation_to_gate_ms,achieved_update_rate_hz
1000,predicate,continuous,55,27.503,1,published_after_gate_recheck,22.257726173847914,8.45638383179903,1.0
1000,predicate,continuous,56,28.0,1,published_after_gate_recheck,17.594015691429377,4.339610692113638,1.0
1000,readset,continuous,57,28.5,1,published_after_gate_recheck,16.931564081460238,3.9036530070006847,1.0
1000,global,continuous,58,29.0,1,published_after_gate_recheck,21.211382932960987,4.935679957270622,1.0
1000,global,continuous,59,29.5,1,published_after_gate_recheck,17.81411888077855,4.4010961428284645,1.0
1000,predicate,continuous,60,30.0,1,published_after_gate_recheck,19.816235173493624,4.455567803233862,1.0
1000,readset,discrete,61,30.5,1,published_after_gate_recheck,20.16204409301281,6.658500991761684,1.0
1000,readset,continuous,62,31.0,1,published_after_gate_recheck,20.575128961354494,4.115861840546131,1.0
1000,readset,continuous,63,31.5,1,published_after_gate_recheck,16.73849206417799,4.528204910457134,1.0
1000,predicate,discrete,64,32.0,1,published_after_gate_recheck,21.095304749906063,4.575944039970636,1.0
1000,predicate,continuous,65,32.5,1,published_after_gate_recheck,17.75766396895051,4.374998155981302,1.0
1000,global,continuous,66,33.0,1,published_after_gate_recheck,19.925159867852926,3.8522672839462757,1.0
1000,global,discrete,67,33.5,1,published_after_gate_recheck,17.68071996048093,4.240044858306646,1.0
1000,predicate,continuous,68,34.0,1,published_after_gate_recheck,20.371077116578817,4.6921418979763985,1.0
1000,global,continuous,69,34.5,1,published_after_gate_recheck,18.570829182863235,4.301580134779215,1.0
1000,readset,continuous,70,35.0,1,published_after_gate_recheck,21.89507521688938,4.807258024811745,1.0
1000,predicate,discrete,71,35.5,1,published_after_gate_recheck,21.671144757419825,4.72407229244709,1.0
1000,global,discrete,72,36.0,1,published_after_gate_recheck,24.09094525501132,5.549349822103977,1.0
1000,readset,discrete,73,36.5,1,published_after_gate_recheck,18.817372154444456,5.028784275054932,1.0
1000,global,discrete,74,37.0,1,published_after_gate_recheck,20.015420392155647,4.318612162023783,1.0
1000,global,continuous,75,37.5,1,published_after_gate_recheck,19.600821658968925,4.134076181799173,1.0
1000,readset,discrete,76,38.0,1,published_after_gate_recheck,20.572554785758257,4.940859042108059,1.0
1000,readset,discrete,77,38.5,1,published_after_gate_recheck,18.972151912748814,4.778333939611912,1.0
1000,readset,discrete,78,39.0,1,published_after_gate_recheck,20.449773874133825,4.714024253189564,1.0
1000,readset,discrete,79,39.5,1,published_after_gate_recheck,18.845974933356047,5.054892972111702,1.0
1000,readset,discrete,80,40.0,1,published_after_gate_recheck,20.6309137865901,4.5301783829927444,1.0
1000,predicate,discrete,81,40.5,1,published_after_gate_recheck,18.182671163231134,4.733049776405096,1.0
1000,global,continuous,82,41.0,1,published_after_gate_recheck,20.736672915518284,5.254017189145088,1.0
1000,global,discrete,83,41.5,1,published_after_gate_recheck,19.804714247584343,5.010699853301048,1.0
1000,predicate,continuous,84,42.0,1,published_after_gate_recheck,20.688212011009455,4.891917109489441,1.0
1000,global,continuous,85,42.5,1,published_after_gate_recheck,18.045814242213964,4.653871059417725,1.0
1000,readset,discrete,86,43.0,1,published_after_gate_recheck,19.76604200899601,4.437935072928667,1.0
1000,predicate,discrete,87,43.5,1,published_after_gate_recheck,17.0469400472939,4.392019938677549,1.0
1000,predicate,discrete,88,44.0,1,published_after_gate_recheck,20.784362219274044,4.569030832499266,1.0
1000,readset,discrete,89,44.5,1,published_after_gate_recheck,17.42997858673334,4.422977101057768,1.0
1000,predicate,discrete,90,45.0,1,published_after_gate_recheck,21.18973294273019,5.129552911967039,1.0
1000,global,continuous,91,45.5,1,published_after_gate_recheck,20.83949511870742,4.634464625269175,1.0
1000,predicate,continuous,92,46.0,1,published_after_gate_recheck,20.284113008528948,4.079111851751804,1.0
1000,readset,discrete,93,46.5,1,published_after_gate_recheck,18.96014017984271,5.035707261413336,1.0
1000,readset,discrete,94,47.0,1,published_after_gate_recheck,20.045334938913584,4.094832111150026,1.0
1000,predicate,discrete,95,47.5,1,published_after_gate_recheck,17.500160727649927,4.17760806158185,1.0
