version_scope,pattern,target_rate_hz,run,gateway_released,outcome,reason,e2e_latency_ms,validation_to_gate_ms,achieved_rate_hz,goodput_ips
global,unrelated,0,0,1,EXECUTE,published_after_gate_recheck,50.46757776290178,17.183226067572832,0.0,20.535802742402925
global,unrelated,0,1,1,EXECUTE,published_after_gate_recheck,47.56469186395407,14.27289703860879,0.0,20.535802742402925
global,unrelated,0,2,1,EXECUTE,published_after_gate_recheck,47.060476150363684,10.992781724780798,0.0,20.535802742402925
global,unrelated,0,3,1,EXECUTE,published_after_gate_recheck,42.40975109860301,10.284132789820433,0.0,20.535802742402925
global,unrelated,0,4,1,EXECUTE,published_after_gate_recheck,49.45379588752985,11.706310790032148,0.0,20.535802742402925
global,unrelated,0,5,1,EXECUTE,published_after_gate_recheck,48.07751439511776,15.243055764585733,0.0,20.535802742402925
global,unrelated,0,6,1,EXECUTE,published_after_gate_recheck,52.989969961345196,14.465257059782743,0.0,20.535802742402925
global,unrelated,0,7,1,EXECUTE,published_after_gate_recheck,53.24940616264939,16.777966171503067,0.0,20.535802742402925
global,unrelated,0,8,1,EXECUTE,published_after_gate_recheck,42.37917298451066,14.294757042080164,0.0,20.535802742402925
global,unrelated,0,9,1,EXECUTE,published_after_gate_recheck,45.39379896596074,11.636439710855484,0.0,20.535802742402925
global,unrelated,0,10,1,EXECUTE,published_after_gate_recheck,54.27586194127798,16.751667018979788,0.0,20.535802742402925
global,unrelated,0,11,1,EXECUTE,published_after_gate_recheck,45.18892476335168,13.186778407543898,0.0,20.535802742402925
global,unrelated,0,12,1,EXECUTE,published_after_gate_recheck,47.73626383394003,11.578190606087446,0.0,20.535802742402925
global,unrelated,0,13,1,EXECUTE,published_after_gate_recheck,40.62737710773945,11.326679028570652,0.0,20.535802742402925
global,unrelated,0,14,1,EXECUTE,published_after_gate_recheck,50.544220954179764,15.731201972812414,0.0,20.535802742402925
global,unrelated,0,15,1,EXECUTE,published_after_gate_recheck,47.21455508843064,16.439680941402912,0.0,20.535802742402925
global,unrelated,0,16,1,EXECUTE,published_after_gate_recheck,46.77837714552879,13.747620861977339,0.0,20.535802742402925
global,unrelated,0,17,1,EXECUTE,published_after_gate_recheck,48.13897889107466,10.395693127065897,0.0,20.535802742402925
global,unrelated,0,18,1,EXECUTE,published_after_gate_recheck,44.51912781223655,13.285202905535698,0.0,20.535802742402925
global,unrelated,0,19,1,EXECUTE,published_after_gate_recheck,56.23891483992338,13.908632099628448,0.0,20.535802742402925
global,unrelated,0,20,1,EXECUTE,published_after_gate_recheck,38.375483360141516,10.51346305757761,0.0,20.535802742402925
global,unrelated,0,21,1,EXECUTE,published_after_gate_recheck,47.047060914337635,11.993349064141512,0.0,20.535802742402925
global,unrelated,0,22,1,EXECUTE,published_after_gate_recheck,50.099316984415054,10.816853027790785,0.0,20.535802742402925
global,unrelated,0,23,1,EXECUTE,published_after_gate_recheck,44.50014280155301,11.559376027435064,0.0,20.535802742402925
global,unrelated,0,24,1,EXECUTE,published_after_gate_recheck,54.860498290508986,13.831909280270338,0.0,20.535802742402925
global,unrelated,0,25,1,EXECUTE,published_after_gate_recheck,60.28157891705632,19.375759176909924,0.0,20.535802742402925
global,unrelated,0,26,1,EXECUTE,published_after_gate_recheck,46.487961895763874,13.512108940631151,0.0,20.535802742402925
global,unrelated,0,27,1,EXECUTE,published_after_gate_recheck,48.07936726137996,12.406955007463694,0.0,20.535802742402925
global,unrelated,0,28,1,EXECUTE,published_after_gate_recheck,48.06701419875026,13.605343643575907,0.0,20.535802742402925
global,unrelated,0,29,1,EXECUTE,published_after_gate_recheck,52.381087094545364,12.664268724620342,0.0,20.535802742402925
global,unrelated,0,30,1,EXECUTE,published_after_gate_recheck,44.357245322316885,14.662768226116896,0.0,20.535802742402925
global,unrelated,0,31,1,EXECUTE,published_after_gate_recheck,40.53138708695769,8.279502857476473,0.0,20.535802742402925
global,unrelated,0,32,1,EXECUTE,published_after_gate_recheck,60.070402920246124,19.712490029633045,0.0,20.535802742402925
global,unrelated,0,33,1,EXECUTE,published_after_gate_recheck,48.66744112223387,11.37599116191268,0.0,20.535802742402925
global,unrelated,0,34,1,EXECUTE,published_after_gate_recheck,52.35436698421836,13.035503681749105,0.0,20.535802742402925
global,unrelated,0,35,1,EXECUTE,published_after_gate_recheck,49.66451087966561,15.192721970379353,0.0,20.535802742402925
global,unrelated,0,36,1,EXECUTE,published_after_gate_recheck,43.0821031332016,13.33495695143938,0.0,20.535802742402925
global,unrelated,0,37,1,EXECUTE,published_after_gate_recheck,55.970882065594196,14.48793988674879,0.0,20.535802742402925
global,unrelated,0,38,1,EXECUTE,published_after_gate_recheck,46.4814892038703,14.945217873901129,0.0,20.535802742402925
global,unrelated,0,39,1,EXECUTE,published_after_gate_recheck,49.97695796191692,12.62562582269311,0.0,20.535802742402925
global,unrelated,0,40,1,EXECUTE,published_after_gate_recheck,44.599689077585936,12.744649313390255,0.0,20.535802742402925
global,unrelated,0,41,1,EXECUTE,published_after_gate_recheck,51.84422992169857,18.740566913038492,0.0,20.535802742402925
global,unrelated,0,42,1,EXECUTE,published_after_gate_recheck,48.00779279321432,9.203225839883089,0.0,20.535802742402925
global,unrelated,0,43,1,EXECUTE,published_after_gate_recheck,43.81020786240697,14.173859730362892,0.0,20.535802742402925
global,unrelated,0,44,1,EXECUTE,published_after_gate_recheck,50.171080976724625,14.284166973084211,0.0,20.535802742402925
global,unrelated,0,45,1,EXECUTE,published_after_gate_recheck,50.68000592291355,13.345817103981972,0.0,20.535802742402925
global,unrelated,0,46,1,EXECUTE,published_after_gate_recheck,48.39272517710924,13.226992916315794,0.0,20.535802742402925
global,unrelated,0,47,1,EXECUTE,published_after_gate_recheck,45.208611991256475,15.672472305595875,0.0,20.535802742402925
global,unrelated,0,48,1,EXECUTE,published_after_gate_recheck,53.541413974016905,13.58421379700303,0.0,20.535802742402925
global,unrelated,0,49,1,EXECUTE,published_after_gate_recheck,47.446370124816895,10.966863948851824,0.0,20.535802742402925
global,unrelated,0,50,1,EXECUTE,published_after_gate_recheck,47.86839196458459,12.089109979569912,0.0,20.535802742402925
global,unrelated,0,51,1,EXECUTE,published_after_gate_recheck,49.50646357610822,12.97001214697957,0.0,20.535802742402925
global,unrelated,0,52,1,EXECUTE,published_after_gate_recheck,51.01822968572378,11.239356361329556,0.0,20.535802742402925
global,unrelated,0,53,1,EXECUTE,published_after_gate_recheck,54.011094849556684,11.990624945610762,0.0,20.535802742402925
global,unrelated,0,54,1,EXECUTE,published_after_gate_recheck,50.8073247037828,16.385167837142944,0.0,20.535802742402925
global,unrelated,0,55,1,EXECUTE,published_after_gate_recheck,41.53259610757232,11.56612765043974,0.0,20.535802742402925
global,unrelated,0,56,1,EXECUTE,published_after_gate_recheck,43.08745311573148,9.644022211432457,0.0,20.535802742402925
global,unrelated,0,57,1,EXECUTE,published_after_gate_recheck,53.13368933275342,14.686242211610079,0.0,20.535802742402925
global,unrelated,0,58,1,EXECUTE,published_after_gate_recheck,48.05911937728524,16.65134821087122,0.0,20.535802742402925
global,unrelated,0,59,1,EXECUTE,published_after_gate_recheck,48.48628072068095,11.548735201358795,0.0,20.535802742402925
global,unrelated,0,60,1,EXECUTE,published_after_gate_recheck,45.78025406226516,14.567378908395767,0.0,20.535802742402925
global,unrelated,0,61,1,EXECUTE,published_after_gate_recheck,46.79248295724392,15.112121123820543,0.0,20.535802742402925
global,unrelated,0,62,1,EXECUTE,published_after_gate_recheck,45.906021259725094,12.465254869312048,0.0,20.535802742402925
global,unrelated,0,63,1,EXECUTE,published_after_gate_recheck,47.40506270900369,14.198295772075653,0.0,20.535802742402925
global,unrelated,0,64,1,EXECUTE,published_after_gate_recheck,58.92567476257682,17.79538532719016,0.0,20.535802742402925
global,unrelated,0,65,1,EXECUTE,published_after_gate_recheck,52.57756635546684,14.596092980355024,0.0,20.535802742402925
global,unrelated,0,66,1,EXECUTE,published_after_gate_recheck,52.89093405008316,13.438941910862923,0.0,20.535802742402925
global,unrelated,0,67,1,EXECUTE,published_after_gate_recheck,45.516999904066324,10.222848039120436,0.0,20.535802742402925
global,unrelated,0,68,1,EXECUTE,published_after_gate_recheck,52.11112089455128,15.867388341575861,0.0,20.535802742402925
global,unrelated,0,69,1,EXECUTE,published_after_gate_recheck,58.893044013530016,19.26516182720661,0.0,20.535802742402925
global,unrelated,0,70,1,EXECUTE,published_after_gate_recheck,52.72250808775425,17.9878449998796,0.0,20.535802742402925
global,unrelated,0,71,1,EXECUTE,published_after_gate_recheck,45.514936093240976,15.396153088659048,0.0,20.535802742402925
global,unrelated,0,72,1,EXECUTE,published_after_gate_recheck,48.27134823426604,17.509627621620893,0.0,20.535802742402925
global,unrelated,0,73,1,EXECUTE,published_after_gate_recheck,44.75034214556217,7.654179353266954,0.0,20.535802742402925
global,unrelated,0,74,1,EXECUTE,published_after_gate_recheck,51.89699027687311,13.625621795654297,0.0,20.535802742402925
global,unrelated,0,75,1,EXECUTE,published_after_gate_recheck,46.81170918047428,15.828373841941357,0.0,20.535802742402925
global,unrelated,0,76,1,EXECUTE,published_after_gate_recheck,47.98677284270525,18.93777772784233,0.0,20.535802742402925
global,unrelated,0,77,1,EXECUTE,published_after_gate_recheck,47.29408398270607,12.4977957457304,0.0,20.535802742402925
global,unrelated,0,78,1,EXECUTE,published_after_gate_recheck,46.59125488251448,13.901750091463327,0.0,20.535802742402925
global,unrelated,0,79,1,EXECUTE,published_after_gate_recheck,49.04227377846837,15.074910130351782,0.0,20.535802742402925
global,unrelated,0,80,1,EXECUTE,published_after_gate_recheck,47.00230713933706,11.033358983695507,0.0,20.535802742402925
global,unrelated,0,81,1,EXECUTE,published_after_gate_recheck,47.67453810200095,13.244197238236666,0.0,20.535802742402925
global,unrelated,0,82,1,EXECUTE,published_after_gate_recheck,44.47106784209609,11.409143917262554,0.0,20.535802742402925
global,unrelated,0,83,1,EXECUTE,published_after_gate_recheck,50.12688832357526,14.730995055288076,0.0,20.535802742402925
global,unrelated,0,84,1,EXECUTE,published_after_gate_recheck,44.508748687803745,11.551190167665482,0.0,20.535802742402925
global,unrelated,0,85,1,EXECUTE,published_after_gate_recheck,46.678568702191114,9.995571803301573,0.0,20.535802742402925
global,unrelated,0,86,1,EXECUTE,published_after_gate_recheck,52.64681577682495,15.468989964574575,0.0,20.535802742402925
global,unrelated,0,87,1,EXECUTE,published_after_gate_recheck,45.318217016756535,11.139167007058859,0.0,20.535802742402925
global,unrelated,0,88,1,EXECUTE,published_after_gate_recheck,40.286808740347624,9.238371159881353,0.0,20.535802742402925
global,unrelated,0,89,1,EXECUTE,published_after_gate_recheck,45.220103580504656,14.130579307675362,0.0,20.535802742402925
global,unrelated,0,90,1,EXECUTE,published_after_gate_recheck,46.91132577136159,14.187606051564217,0.0,20.535802742402925
global,unrelated,0,91,1,EXECUTE,published_after_gate_recheck,55.8976149186492,16.517726704478264,0.0,20.535802742402925
global,unrelated,0,92,1,EXECUTE,published_after_gate_recheck,50.36574695259333,14.57066461443901,0.0,20.535802742402925
global,unrelated,0,93,1,EXECUTE,published_after_gate_recheck,43.70107315480709,11.420714668929577,0.0,20.535802742402925
global,unrelated,0,94,1,EXECUTE,published_after_gate_recheck,55.77793996781111,14.715455938130617,0.0,20.535802742402925
global,unrelated,0,95,1,EXECUTE,published_after_gate_recheck,36.44135408103466,10.238517075777054,0.0,20.535802742402925
global,unrelated,0,96,1,EXECUTE,published_after_gate_recheck,47.980922274291515,13.668993022292852,0.0,20.535802742402925
