run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
17,xair,1,0.0,0.0,concurrent,0,1,0,0,0,31,31,before_check,0,,,,,45.358052011579275,50.29074614867568,36.878103855997324,42.06473380327225,,,REVOKE,read_set_version_changed_at_gate,36.337739787995815,,,15.675758011639118,15.912081114947796,48.13076416030526,16.20645308867097,52.01349779963493,
18,xair,1,0.0,0.0,concurrent,1,0,0,1,0,33,32,after_check,0,after_middleware,3.6543351598083973,11.420214083045721,32.88547322154045,21.46525913849473,29.231138061732054,38.15888613462448,40.994927287101746,,,EXECUTE,published_after_gate_recheck,20.39641421288252,20.409048069268465,0.012633856385946274,12.488889042288065,12.614774983376265,45.63738591969013,12.768824119120836,32.885303255170584,32.89793711155653
19,xair,1,0.0,0.0,concurrent,1,0,0,1,0,35,34,after_check,0,after_middleware,1.7920820973813534,4.961948841810226,22.67811493948102,17.716166097670794,20.886032842099667,30.425097793340683,35.60522571206093,,,EXECUTE,published_after_gate_recheck,8.207788225263357,8.21687513962388,0.009086914360523224,14.470175839960575,14.59426898509264,44.289367739111185,14.810103923082352,22.677964065223932,22.687050979584455
20,xair,1,0.0,0.0,concurrent,1,0,0,1,0,37,36,after_check,0,after_middleware,3.2699243165552616,9.060688316822052,29.734341893345118,20.673653576523066,26.464417576789856,35.23115487769246,40.01320572569966,,,EXECUTE,published_after_gate_recheck,16.788415145128965,16.803533770143986,0.01511862501502037,12.945816852152348,13.207537587732077,49.510071985423565,13.60610593110323,29.734231997281313,29.749350622296333
21,xair,1,0.0,0.0,concurrent,0,1,0,0,0,39,39,before_check,0,,,,,36.237181164324284,42.13486518710852,25.994395837187767,32.74727426469326,,,REVOKE,read_set_version_changed_at_gate,35.59763077646494,,,10.021230205893517,10.288220830261707,39.205830078572035,10.615785140544176,45.618860982358456,
22,xair,1,0.0,0.0,concurrent,0,1,0,0,0,41,41,before_check,0,,,,,39.777192287147045,44.6241251192987,26.60611318424344,32.41531131789088,,,REVOKE,read_set_version_changed_at_gate,34.00774905458093,,,12.112994212657213,12.23002327606082,43.42074738815427,12.393370270729065,46.12074326723814,
23,xair,1,0.0,0.0,concurrent,1,0,0,1,0,43,42,after_check,0,after_middleware,2.3241997696459293,5.24840597063303,22.60883478447795,17.36042881384492,20.28463501483202,29.53905565664172,32.96692669391632,,,EXECUTE,published_after_gate_recheck,11.915895156562328,11.929590255022049,0.013695098459720612,10.692829731851816,10.855585802346468,40.954270865768194,11.055951938033104,22.608724888414145,22.622419986873865
24,xair,0,,0.0,control,1,0,0,0,0,,44,control,0,,3.2581519335508347,9.135717991739511,33.21627387776971,24.080555886030197,29.958121944218874,,,,,EXECUTE,published_after_gate_recheck,18.396691884845495,18.406830728054047,0.010138843208551407,14.8194320499897,,,14.851773157715797,33.216123934835196,33.22626277804375
25,xair,1,0.0,0.0,concurrent,1,0,0,1,0,46,45,after_check,0,after_middleware,3.1696362420916557,9.088941384106874,30.477145221084356,21.388203836977482,27.3075089789927,36.42910113558173,39.22239085659385,,,EXECUTE,published_after_gate_recheck,15.490119811147451,15.50352480262518,0.01340499147772789,14.986895024776459,15.244307927787304,47.34707297757268,15.668163076043129,30.47701483592391,30.490419827401638
26,xair,1,0.0,0.0,concurrent,1,0,0,1,0,48,47,after_check,0,after_middleware,1.0776324197649956,4.395727068185806,24.00378230959177,19.608055241405964,22.926149889826775,30.10837407782674,31.95900609716773,,,EXECUTE,published_after_gate_recheck,9.730002842843533,9.740532841533422,0.010529998689889908,14.273628126829863,14.389565214514732,36.370632238686085,14.515290968120098,24.003630969673395,24.014160968363285
