run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
17,xair,1,0.0,0.0,concurrent,1,0,0,1,0,31,30,after_check,0,after_middleware,1.1004642583429813,2.3594959639012814,9.257858153432608,6.898362189531326,8.157393895089626,10.368331801146269,13.703417964279652,,,EXECUTE,published_after_gate_recheck,4.712200257927179,4.721077159047127,0.008876901119947433,4.5455279760062695,4.676524084061384,15.686088241636753,4.825884010642767,9.257728233933449,9.266605135053396
18,xair,1,0.0,0.0,concurrent,0,1,0,0,0,33,33,before_check,0,,,,,12.281370349228382,13.475420419126749,9.973901323974133,11.215210426598787,,,REVOKE,read_set_version_changed_at_gate,9.689447935670614,,,4.619145300239325,4.764358047395945,13.09209130704403,4.927474074065685,14.308593235909939,
19,xair,1,0.0,0.0,concurrent,0,1,0,0,0,35,35,before_check,0,,,,,11.14651095122099,12.132921256124973,8.613598998636007,9.780708234757185,,,REVOKE,read_set_version_changed_at_gate,8.579676039516926,,,4.396357107907534,4.535498097538948,11.95261301472783,4.712250083684921,12.97603314742446,
20,xair,1,0.0,0.0,concurrent,0,1,0,0,0,37,37,before_check,0,,,,,12.648309115320444,14.10662429407239,10.235092137008905,11.173862963914871,,,REVOKE,read_set_version_changed_at_gate,10.254576802253723,,,4.872191231697798,5.116608925163746,13.39003024622798,5.339697934687138,15.126768033951521,
21,xair,1,0.0,0.0,concurrent,0,1,0,0,0,39,39,before_check,0,,,,,11.773346923291683,13.302013743668795,9.515199810266495,10.71747625246644,,,REVOKE,read_set_version_changed_at_gate,9.52504901215434,,,4.641267005354166,4.778805188834667,12.670089025050402,4.966176114976406,14.166316017508507,
22,xair,1,0.0,0.0,concurrent,1,0,0,1,0,41,40,after_check,0,after_middleware,1.2637707404792309,2.5013629347085953,11.477692052721977,8.976329118013382,10.213921312242746,13.123759999871254,14.236727729439735,,,EXECUTE,published_after_gate_recheck,5.31985005363822,5.332653876394033,0.012803822755813599,6.157661322504282,6.291863042861223,16.4936319924891,6.549086421728134,11.477511376142502,11.490315198898315
23,xair,1,0.0,0.0,concurrent,1,0,0,1,0,43,42,after_check,0,after_middleware,1.1272039264440536,2.5200373493134975,10.398968122899532,7.878930773586035,9.271764196455479,12.193033937364817,13.716943096369505,,,EXECUTE,published_after_gate_recheck,5.072456318885088,5.082174204289913,0.00971788540482521,5.3263818845152855,5.415800027549267,16.18262892588973,5.538880825042725,10.398838203400373,10.408556088805199
24,xair,0,,0.0,control,1,0,0,0,0,,44,control,0,,1.0421550832688808,2.2594179026782513,9.805724956095219,7.546307053416967,8.763569872826338,,,,,EXECUTE,published_after_gate_recheck,4.430461209267378,4.442504141479731,0.012042932212352753,5.3751240484416485,,,5.410670302808285,9.805585257709026,9.817628189921379
25,xair,1,0.0,0.0,concurrent,1,0,0,1,0,46,45,after_check,0,after_middleware,1.0039331391453743,2.3272251710295677,10.195506270974874,7.868281099945307,9.1915731318295,11.725136078894138,12.952178250998259,,,EXECUTE,published_after_gate_recheck,5.173895973712206,5.182823166251183,0.00892719253897667,5.021470133215189,5.174627061933279,14.879424124956131,5.3222342394292355,10.195366106927395,10.204293299466372
26,xair,1,0.0,0.0,concurrent,0,1,0,0,0,48,48,before_check,0,,,,,13.483555987477303,14.641116838902235,10.899337939918041,11.917777825146914,,,REVOKE,read_set_version_changed_at_gate,10.860263835638762,,,4.804544150829315,4.902837797999382,14.478933066129684,5.092855077236891,15.664807986468077,
27,xair,1,0.0,0.0,concurrent,0,1,0,0,0,50,50,before_check,0,,,,,11.860740836709738,12.966835871338844,9.290459100157022,10.463851038366556,,,REVOKE,read_set_version_changed_at_gate,9.384715929627419,,,4.583639092743397,4.685009829699993,12.599267065525055,4.8176380805671215,13.968355022370815,
28,xair,0,,0.0,control,1,0,0,0,0,,51,control,0,,0.9044171310961246,2.19425605610013,9.60919726639986,7.41494121029973,8.704780135303736,,,,,EXECUTE,published_after_gate_recheck,4.554674960672855,4.568471107631922,0.013796146959066391,5.05440216511488,,,5.099116358906031,9.609077125787735,9.622873272746801
29,xair,1,0.0,0.0,concurrent,0,1,0,0,0,53,53,before_check,0,,,,,14.717801008373499,15.88571211323142,11.99645595625043,13.214620761573315,,,REVOKE,read_set_version_changed_at_gate,11.53162308037281,,,5.532468669116497,5.753122735768557,15.476323664188385,5.989125929772854,17.064091749489307,
30,xair,0,,0.0,control,1,0,0,0,0,,54,control,0,,1.256065908819437,2.2673439234495163,9.803781751543283,7.536437828093767,8.547715842723846,,,,,EXECUTE,published_after_gate_recheck,4.892497789114714,4.907175898551941,0.01467810943722725,4.910863004624844,,,4.962570033967495,9.803360793739557,9.818038903176785
31,xair,1,0.0,0.0,concurrent,1,0,0,1,0,56,55,after_check,0,after_middleware,1.4711101539433002,2.761010080575943,10.270447004586458,7.509436924010515,8.799336850643158,11.55415503308177,13.298348058015108,,,EXECUTE,published_after_gate_recheck,5.32582076266408,5.342171993106604,0.016351230442523956,4.944185260683298,5.1083629950881,15.631845220923424,5.25160226970911,10.270006023347378,10.286357253789902
32,xair,1,0.0,0.0,concurrent,1,0,0,1,0,58,57,after_check,0,after_middleware,1.693135593086481,2.956685610115528,11.375469621270895,8.418784011155367,9.682334028184414,13.077293056994677,14.506223611533642,,,EXECUTE,published_after_gate_recheck,6.636098958551884,6.647890899330378,0.011791940778493881,4.739260766655207,4.943683743476868,16.683888621628284,5.210123956203461,11.37535972520709,11.387151665985584
33,xair,1,0.0,0.0,concurrent,0,1,0,0,0,60,60,before_check,0,,,,,11.998169124126434,13.304009102284908,9.575825184583664,10.593764018267393,,,REVOKE,read_set_version_changed_at_gate,9.788102935999632,,,4.591965116560459,4.682464990764856,13.181698974221945,4.793343134224415,14.380068052560091,
34,xair,1,0.0,0.0,concurrent,1,0,0,1,0,62,61,after_check,0,after_middleware,0.9786458685994148,2.273065038025379,9.98025294393301,7.707187905907631,9.001607075333595,11.57761923968792,12.664689216762781,,,EXECUTE,published_after_gate_recheck,5.310081876814365,5.324698984622955,0.014617107808589935,4.670021124184132,4.898309241980314,14.893740881234407,5.156203173100948,9.980103000998497,9.994720108807087
35,xair,1,0.0,0.0,concurrent,1,0,0,1,0,64,63,after_check,0,after_middleware,1.0089129209518433,2.240153029561043,9.403560776263475,7.163407746702433,8.394647855311632,10.982281994074583,12.540735770016909,,,EXECUTE,published_after_gate_recheck,4.532312974333763,4.543372895568609,0.011059921234846115,4.871117882430553,4.963801708072424,14.22869274392724,5.0791180692613125,9.403430856764317,9.414490777999163
36,xair,1,0.0,0.0,concurrent,1,0,0,1,0,66,65,after_check,0,after_middleware,0.8828556165099144,2.3284079506993294,10.13737777248025,7.80896982178092,9.254522155970335,12.350630015134811,13.513010926544666,,,EXECUTE,published_after_gate_recheck,5.274435039609671,5.280084908008575,0.0056498683989048,4.862843081355095,5.016130860894918,15.198472887277603,5.248455796390772,10.137278120964766,10.14292798936367
37,xair,0,,0.0,control,1,0,0,0,0,,67,control,0,,1.0663303546607494,2.1652420982718468,9.201903361827135,7.036661263555288,8.135573007166386,,,,,EXECUTE,published_after_gate_recheck,4.293836187571287,4.30451612919569,0.010679941624403,4.907927010208368,,,4.958152305334806,9.201763197779655,9.212443139404058
