version_scope,pattern,target_rate_hz,run,gateway_released,outcome,reason,e2e_latency_ms,validation_to_gate_ms,achieved_rate_hz,goodput_ips
global,unrelated,0,0,1,EXECUTE,published_after_gate_recheck,16.910403966903687,4.578880034387112,0.0,62.52811358549421
global,unrelated,0,1,1,EXECUTE,published_after_gate_recheck,15.207690186798573,4.073592368513346,0.0,62.52811358549421
global,unrelated,0,2,1,EXECUTE,published_after_gate_recheck,14.783814083784819,3.932436928153038,0.0,62.52811358549421
global,unrelated,0,3,1,EXECUTE,published_after_gate_recheck,14.86488664522767,4.324944224208593,0.0,62.52811358549421
global,unrelated,0,4,1,EXECUTE,published_after_gate_recheck,15.93869086354971,4.413810092955828,0.0,62.52811358549421
global,unrelated,0,5,1,EXECUTE,published_after_gate_recheck,14.0671799890697,4.063502885401249,0.0,62.52811358549421
global,unrelated,0,6,1,EXECUTE,published_after_gate_recheck,14.719033148139715,4.4503891840577126,0.0,62.52811358549421
global,unrelated,0,7,1,EXECUTE,published_after_gate_recheck,15.39487112313509,4.481788258999586,0.0,62.52811358549421
global,unrelated,0,8,1,EXECUTE,published_after_gate_recheck,15.990827698260546,4.536841996014118,0.0,62.52811358549421
global,unrelated,0,9,1,EXECUTE,published_after_gate_recheck,14.74666502326727,4.133944865316153,0.0,62.52811358549421
global,unrelated,0,10,1,EXECUTE,published_after_gate_recheck,14.709103852510452,4.493389278650284,0.0,62.52811358549421
global,unrelated,0,11,1,EXECUTE,published_after_gate_recheck,14.550586696714163,4.141620360314846,0.0,62.52811358549421
global,unrelated,0,12,1,EXECUTE,published_after_gate_recheck,15.442159958183765,4.716749303042889,0.0,62.52811358549421
global,unrelated,0,13,1,EXECUTE,published_after_gate_recheck,15.511309262365103,4.472190048545599,0.0,62.52811358549421
global,unrelated,0,14,1,EXECUTE,published_after_gate_recheck,15.277370810508728,4.470215644687414,0.0,62.52811358549421
global,unrelated,0,15,1,EXECUTE,published_after_gate_recheck,14.507025014609098,4.245094023644924,0.0,62.52811358549421
global,unrelated,0,16,1,EXECUTE,published_after_gate_recheck,14.671132899820805,4.170424304902554,0.0,62.52811358549421
global,unrelated,0,17,1,EXECUTE,published_after_gate_recheck,15.226274263113737,4.15001530200243,0.0,62.52811358549421
global,unrelated,0,18,1,EXECUTE,published_after_gate_recheck,14.934055972844362,4.403040278702974,0.0,62.52811358549421
global,unrelated,0,19,1,EXECUTE,published_after_gate_recheck,14.534556772559881,4.285268951207399,0.0,62.52811358549421
global,unrelated,0,20,1,EXECUTE,published_after_gate_recheck,13.990976847708225,3.7594931200146675,0.0,62.52811358549421
global,unrelated,0,21,1,EXECUTE,published_after_gate_recheck,14.683175832033157,4.280830733478069,0.0,62.52811358549421
global,unrelated,0,22,1,EXECUTE,published_after_gate_recheck,17.259408719837666,6.666004657745361,0.0,62.52811358549421
global,unrelated,0,23,1,EXECUTE,published_after_gate_recheck,13.274652883410454,3.592139109969139,0.0,62.52811358549421
global,unrelated,0,24,1,EXECUTE,published_after_gate_recheck,16.441273968666792,3.880169242620468,0.0,62.52811358549421
global,unrelated,0,25,1,EXECUTE,published_after_gate_recheck,16.462895087897778,5.2362727001309395,0.0,62.52811358549421
global,unrelated,0,26,1,EXECUTE,published_after_gate_recheck,15.914826188236475,4.587847273796797,0.0,62.52811358549421
global,unrelated,0,27,1,EXECUTE,published_after_gate_recheck,17.242087051272392,4.22329269349575,0.0,62.52811358549421
global,unrelated,0,28,1,EXECUTE,published_after_gate_recheck,15.734857879579067,4.375949036329985,0.0,62.52811358549421
global,unrelated,0,29,1,EXECUTE,published_after_gate_recheck,16.345033887773752,5.139993038028479,0.0,62.52811358549421
global,unrelated,0,30,1,EXECUTE,published_after_gate_recheck,17.447622027248144,4.768907092511654,0.0,62.52811358549421
global,unrelated,0,31,1,EXECUTE,published_after_gate_recheck,16.238383948802948,4.7453916631639,0.0,62.52811358549421
