scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,37,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.3267620019614697,227.18,200,1000,2026-09-23T07:06:36.026668+00:00
e1b,38,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,7.703711977228522,224.816,200,1000,2026-09-23T07:06:36.316886+00:00
e1b,39,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,10.840980103239417,229.588,200,1000,2026-09-23T07:06:36.616784+00:00
e1b,40,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.6031831037253141,220.531,200,1000,2026-09-23T07:06:36.905036+00:00
e1b,41,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.4043879713863134,221.368,200,1000,2026-09-23T07:06:37.199339+00:00
e1b,42,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,8.371554082259536,223.98,200,1000,2026-09-23T07:06:37.484636+00:00
e1b,43,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.095937030389905,209.132,200,1000,2026-09-23T07:06:37.761437+00:00
e1b,44,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.8432438373565674,213.349,200,1000,2026-09-23T07:06:38.031463+00:00
e1b,45,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,5.360743030905724,217.299,200,1000,2026-09-23T07:06:38.310806+00:00
e1b,46,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,6.942055886611342,236.98,200,1000,2026-09-23T07:06:38.610693+00:00
e1b,47,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,6.763251032680273,223.095,200,1000,2026-09-23T07:06:38.894784+00:00
e1b,48,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.196157980710268,209.162,200,1000,2026-09-23T07:06:39.167699+00:00
e1b,49,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.8512519784271717,211.553,200,1000,2026-09-23T07:06:39.451239+00:00
e1b,50,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,5.727249896153808,216.831,200,1000,2026-09-23T07:06:39.734251+00:00
e1b,51,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.2118900194764137,226.518,200,1000,2026-09-23T07:06:40.028957+00:00
e1b,52,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,5.427939118817449,218.821,200,1000,2026-09-23T07:06:40.303492+00:00
e1b,53,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.040655981749296,224.393,200,1000,2026-09-23T07:06:40.590488+00:00
e1b,54,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.3963861856609583,209.606,200,1000,2026-09-23T07:06:40.855833+00:00
e1b,55,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.3345798943191767,207.66,200,1000,2026-09-23T07:06:41.119614+00:00
e1b,56,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.6105070244520903,208.235,200,1000,2026-09-23T07:06:41.383570+00:00
e1b,57,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.347781952470541,210.469,200,1000,2026-09-23T07:06:41.649228+00:00
e1b,58,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.333699095994234,209.14,200,1000,2026-09-23T07:06:41.914363+00:00
e1b,59,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.0240490082651377,210.021,200,1000,2026-09-23T07:06:42.180636+00:00
e1b,60,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.1224928312003613,208.821,200,1000,2026-09-23T07:06:42.444017+00:00
e1b,61,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.412917161360383,210.755,200,1000,2026-09-23T07:06:42.710043+00:00
e1b,62,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,0.6548769306391478,207.734,200,1000,2026-09-23T07:06:42.973241+00:00
e1b,63,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,0.9941731113940477,207.716,200,1000,2026-09-23T07:06:43.236598+00:00
e1b,64,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.0894211009144783,208.275,200,1000,2026-09-23T07:06:43.500118+00:00
e1b,65,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.9168010912835598,208.396,200,1000,2026-09-23T07:06:43.764157+00:00
e1b,66,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.2779941316694021,210.879,200,1000,2026-09-23T07:06:44.030955+00:00
e1b,67,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,0.7054419256746769,208.006,200,1000,2026-09-23T07:06:44.295229+00:00
e1b,68,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.0137829706072807,208.452,200,1000,2026-09-23T07:06:44.560263+00:00
e1b,69,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.8444550223648548,209.911,200,1000,2026-09-23T07:06:44.828873+00:00
e1b,70,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,0.6548359524458647,207.101,200,1000,2026-09-23T07:06:45.092698+00:00
e1b,71,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.797948032617569,212.374,200,1000,2026-09-23T07:06:45.360560+00:00
e1b,72,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.5695600304752588,210.143,200,1000,2026-09-23T07:06:45.624960+00:00
e1b,73,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.5332128386944532,210.391,200,1000,2026-09-23T07:06:45.890253+00:00
