delay_ms,jitter_ms,loss_pct,run,drifted,outcome,reason,gateway_released,e2e_latency_ms,netem_applied
10,0,0,30,0,EXECUTE,published_after_gate_recheck,1,172.4583541508764,1
10,0,0,31,0,EXECUTE,published_after_gate_recheck,1,171.31310608237982,1
10,0,0,32,0,EXECUTE,published_after_gate_recheck,1,175.2534369006753,1
10,0,0,33,0,EXECUTE,published_after_gate_recheck,1,195.14274806715548,1
10,0,0,34,0,EXECUTE,published_after_gate_recheck,1,180.43458694592118,1
10,0,0,35,0,EXECUTE,published_after_gate_recheck,1,191.54835515655577,1
10,0,0,36,0,EXECUTE,published_after_gate_recheck,1,195.04527491517365,1
10,0,0,37,0,EXECUTE,published_after_gate_recheck,1,178.22975106537342,1
10,0,0,38,0,EXECUTE,published_after_gate_recheck,1,171.12376121804118,1
10,0,0,39,0,EXECUTE,published_after_gate_recheck,1,178.87118412181735,1
50,10,0,0,1,REVOKE,obsolete: elapsed 743.1ms > freshness 500ms,0,411.8171581067145,1
50,10,0,1,1,REVOKE,obsolete: elapsed 714.2ms > freshness 500ms,0,433.6554838810116,1
50,10,0,2,1,REVOKE,obsolete: elapsed 772.0ms > freshness 500ms,0,431.022014003247,1
50,10,0,3,1,REVOKE,obsolete: elapsed 723.1ms > freshness 500ms,0,404.26916792057455,1
50,10,0,4,1,REVOKE,obsolete: elapsed 700.4ms > freshness 500ms,0,413.02375006489456,1
50,10,0,5,1,REVOKE,obsolete: elapsed 774.6ms > freshness 500ms,0,431.57516210339963,1
50,10,0,6,1,REVOKE,obsolete: elapsed 713.5ms > freshness 500ms,0,394.9745921418071,1
50,10,0,7,1,REVOKE,obsolete: elapsed 719.9ms > freshness 500ms,0,407.17366710305214,1
50,10,0,8,1,REVOKE,obsolete: elapsed 774.9ms > freshness 500ms,0,440.7426379621029,1
50,10,0,9,1,REVOKE,obsolete: elapsed 714.3ms > freshness 500ms,0,421.24512302689254,1
50,10,0,10,1,REVOKE,obsolete: elapsed 724.3ms > freshness 500ms,0,407.171071972698,1
50,10,0,11,1,REVOKE,obsolete: elapsed 690.3ms > freshness 500ms,0,382.4570910073817,1
50,10,0,12,1,REVOKE,obsolete: elapsed 719.5ms > freshness 500ms,0,412.6764989923686,1
50,10,0,13,1,REVOKE,obsolete: elapsed 742.2ms > freshness 500ms,0,425.13534100726247,1
50,10,0,14,1,REVOKE,obsolete: elapsed 673.6ms > freshness 500ms,0,395.6277978140861,1
50,10,0,15,1,REVOKE,obsolete: elapsed 725.8ms > freshness 500ms,0,417.49648097902536,1
50,10,0,16,1,REVOKE,obsolete: elapsed 696.5ms > freshness 500ms,0,430.54294493049383,1
50,10,0,17,1,REVOKE,obsolete: elapsed 746.3ms > freshness 500ms,0,414.411392994225,1
50,10,0,18,1,REVOKE,obsolete: elapsed 693.0ms > freshness 500ms,0,379.3362770229578,1
50,10,0,19,1,REVOKE,obsolete: elapsed 742.9ms > freshness 500ms,0,424.6668219566345,1
50,10,0,20,1,REVOKE,obsolete: elapsed 722.5ms > freshness 500ms,0,424.8156319372356,1
50,10,0,21,1,REVOKE,obsolete: elapsed 775.7ms > freshness 500ms,0,419.82189286500216,1
50,10,0,22,1,REVOKE,obsolete: elapsed 731.7ms > freshness 500ms,0,417.80845588073134,1
50,10,0,23,1,REVOKE,obsolete: elapsed 721.5ms > freshness 500ms,0,420.4261170234531,1
50,10,0,24,1,REVOKE,obsolete: elapsed 698.4ms > freshness 500ms,0,424.29907200857997,1
50,10,0,25,1,REVOKE,obsolete: elapsed 684.6ms > freshness 500ms,0,394.11139278672636,1
50,10,0,26,1,REVOKE,obsolete: elapsed 723.0ms > freshness 500ms,0,409.65042309835553,1
50,10,0,27,1,REVOKE,obsolete: elapsed 744.4ms > freshness 500ms,0,413.6013339739293,1
50,10,0,28,1,REVOKE,obsolete: elapsed 730.5ms > freshness 500ms,0,426.23941181227565,1
50,10,0,29,1,REVOKE,obsolete: elapsed 690.6ms > freshness 500ms,0,415.40212207473814,1
50,10,0,30,0,REVOKE,obsolete: elapsed 561.4ms > freshness 500ms_at_publish,0,823.6045690719038,1
50,10,0,31,0,REVOKE,obsolete: elapsed 565.4ms > freshness 500ms_at_publish,0,837.1709778439254,1
50,10,0,32,0,REVOKE,obsolete: elapsed 557.5ms > freshness 500ms_at_publish,0,817.6387278363109,1
50,10,0,33,0,REVOKE,obsolete: elapsed 573.8ms > freshness 500ms_at_publish,0,840.3119300492108,1
50,10,0,34,0,REVOKE,obsolete: elapsed 545.5ms > freshness 500ms_at_publish,0,806.5651340875775,1
50,10,0,35,0,REVOKE,obsolete: elapsed 579.8ms > freshness 500ms_at_publish,0,844.2037110216916,1
50,10,0,36,0,REVOKE,obsolete: elapsed 595.6ms > freshness 500ms_at_publish,0,855.3171090316027,1
50,10,0,37,0,REVOKE,obsolete: elapsed 574.2ms > freshness 500ms_at_publish,0,824.9541711993515,1
