run,baseline,valid_intent,outcome,reason,gateway_released,wrongful_revoke,e2e_latency_ms
94,local,1,EXECUTE,local_guard_passed,1,0,11.144631076604128
95,local,1,EXECUTE,local_guard_passed,1,0,9.094958892092109
96,local,1,EXECUTE,local_guard_passed,1,0,4.079147009178996
97,local,1,EXECUTE,local_guard_passed,1,0,3.7766490131616592
98,local,1,EXECUTE,local_guard_passed,1,0,6.474727066233754
99,local,1,EXECUTE,local_guard_passed,1,0,4.441876197233796
0,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.93941999413073
1,xair,1,EXECUTE,published_after_gate_recheck,1,0,20.475482800975442
2,xair,1,EXECUTE,published_after_gate_recheck,1,0,21.613425808027387
3,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.538279846310616
4,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.343730062246323
5,xair,1,EXECUTE,published_after_gate_recheck,1,0,24.51663790270686
6,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.95360391587019
7,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.089207001030445
8,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.357021095231175
9,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.774878922849894
10,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.525513017550111
11,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.454916214570403
12,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.480376796796918
13,xair,1,EXECUTE,published_after_gate_recheck,1,0,5.930035840719938
14,xair,1,EXECUTE,published_after_gate_recheck,1,0,10.109049966558814
15,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.877567084506154
16,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.115613911300898
17,xair,1,EXECUTE,published_after_gate_recheck,1,0,17.23219291307032
18,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.19697199203074
19,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.819378050044179
20,xair,1,EXECUTE,published_after_gate_recheck,1,0,10.080707026645541
21,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.286842800676823
22,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.672737050801516
23,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.488241989165545
24,xair,1,EXECUTE,published_after_gate_recheck,1,0,16.595199005678296
25,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.267648052424192
26,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.557797012850642
27,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.510834908112884
28,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.485597928985953
29,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.01016891375184
30,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.68837202526629
31,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.352866861969233
32,xair,1,EXECUTE,published_after_gate_recheck,1,0,13.698939932510257
33,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.008737048134208
34,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.583278860896826
35,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.329089101403952
36,xair,1,EXECUTE,published_after_gate_recheck,1,0,5.519706988707185
37,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.013488095253706
38,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.754284983500838
39,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.2352679669857025
40,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.193179033696651
41,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.339953979477286
42,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.025979924947023
43,xair,1,EXECUTE,published_after_gate_recheck,1,0,5.102354800328612
44,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.051601894199848
45,xair,1,EXECUTE,published_after_gate_recheck,1,0,6.8365661427378654
46,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.239343021064997
47,xair,1,EXECUTE,published_after_gate_recheck,1,0,15.029945177957416
48,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.385106878355145
49,xair,1,EXECUTE,published_after_gate_recheck,1,0,11.573304887861013
50,xair,1,EXECUTE,published_after_gate_recheck,1,0,7.388148922473192
51,xair,1,EXECUTE,published_after_gate_recheck,1,0,9.72801586613059
52,xair,1,EXECUTE,published_after_gate_recheck,1,0,19.382093101739883
53,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.109750881791115
54,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.357032952830195
55,xair,1,EXECUTE,published_after_gate_recheck,1,0,12.47458509169519
56,xair,1,EXECUTE,published_after_gate_recheck,1,0,8.61830497160554
57,xair,1,EXECUTE,published_after_gate_recheck,1,0,14.305185992270708
