delay_ms,jitter_ms,loss_pct,run,drifted,outcome,reason,gateway_released,e2e_latency_ms,netem_applied
10,0,0,22,1,REVOKE,precondition_failed: line.state == 'RUN',0,86.01279207505286,1
10,0,0,23,1,REVOKE,precondition_failed: line.state == 'RUN',0,83.42278399504721,1
10,0,0,24,1,REVOKE,precondition_failed: line.state == 'RUN',0,83.54040491394699,1
10,0,0,25,1,REVOKE,precondition_failed: line.state == 'RUN',0,84.03266803361475,1
10,0,0,26,1,REVOKE,precondition_failed: line.state == 'RUN',0,83.63380003720522,1
10,0,0,27,1,REVOKE,precondition_failed: line.state == 'RUN',0,83.44231080263853,1
10,0,0,28,1,REVOKE,precondition_failed: line.state == 'RUN',0,82.99357001669705,1
10,0,0,29,1,REVOKE,precondition_failed: line.state == 'RUN',0,84.24059813842177,1
10,0,0,30,0,EXECUTE,published_after_gate_recheck,1,167.32528782449663,1
10,0,0,31,0,EXECUTE,published_after_gate_recheck,1,166.97665490210056,1
10,0,0,32,0,EXECUTE,published_after_gate_recheck,1,167.3948490060866,1
10,0,0,33,0,EXECUTE,published_after_gate_recheck,1,172.2301971167326,1
10,0,0,34,0,EXECUTE,published_after_gate_recheck,1,167.3514370340854,1
10,0,0,35,0,EXECUTE,published_after_gate_recheck,1,166.8652161024511,1
10,0,0,36,0,EXECUTE,published_after_gate_recheck,1,166.31840006448328,1
10,0,0,37,0,EXECUTE,published_after_gate_recheck,1,166.17720620706677,1
10,0,0,38,0,EXECUTE,published_after_gate_recheck,1,166.20763204991817,1
10,0,0,39,0,EXECUTE,published_after_gate_recheck,1,174.92370796389878,1
50,10,0,0,1,REVOKE,precondition_failed: line.state == 'RUN',0,415.9322159830481,1
50,10,0,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,414.0653351787478,1
50,10,0,2,1,REVOKE,precondition_failed: line.state == 'RUN',0,400.7692311424762,1
50,10,0,3,1,REVOKE,precondition_failed: line.state == 'RUN',0,405.88828013278544,1
50,10,0,4,1,REVOKE,precondition_failed: line.state == 'RUN',0,419.59661804139614,1
50,10,0,5,1,REVOKE,precondition_failed: line.state == 'RUN',0,470.7344470079988,1
50,10,0,6,1,REVOKE,precondition_failed: line.state == 'RUN',0,403.3403629437089,1
50,10,0,7,1,REVOKE,precondition_failed: line.state == 'RUN',0,434.28569403477013,1
50,10,0,8,1,REVOKE,precondition_failed: line.state == 'RUN',0,383.1336779985577,1
50,10,0,9,1,REVOKE,precondition_failed: line.state == 'RUN',0,419.97358202934265,1
50,10,0,10,1,REVOKE,precondition_failed: line.state == 'RUN',0,432.4361179023981,1
50,10,0,11,1,REVOKE,precondition_failed: line.state == 'RUN',0,429.1221220046282,1
50,10,0,12,1,REVOKE,precondition_failed: line.state == 'RUN',0,406.3173171598464,1
50,10,0,13,1,REVOKE,precondition_failed: line.state == 'RUN',0,426.93982901982963,1
50,10,0,14,1,REVOKE,precondition_failed: line.state == 'RUN',0,413.5492721106857,1
50,10,0,15,1,REVOKE,precondition_failed: line.state == 'RUN',0,406.6830819938332,1
50,10,0,16,1,REVOKE,precondition_failed: line.state == 'RUN',0,413.3253621403128,1
50,10,0,17,1,REVOKE,precondition_failed: line.state == 'RUN',0,413.6589968111366,1
50,10,0,18,1,REVOKE,precondition_failed: line.state == 'RUN',0,422.6133329793811,1
50,10,0,19,1,REVOKE,precondition_failed: line.state == 'RUN',0,420.7276259548962,1
50,10,0,20,1,REVOKE,precondition_failed: line.state == 'RUN',0,407.14221401140094,1
50,10,0,21,1,REVOKE,precondition_failed: line.state == 'RUN',0,410.2488101925701,1
50,10,0,22,1,REVOKE,precondition_failed: line.state == 'RUN',0,418.9054381567985,1
50,10,0,23,1,REVOKE,precondition_failed: line.state == 'RUN',0,424.54164009541273,1
50,10,0,24,1,REVOKE,precondition_failed: line.state == 'RUN',0,464.9363791104406,1
50,10,0,25,1,REVOKE,precondition_failed: line.state == 'RUN',0,429.5576889999211,1
50,10,0,26,1,REVOKE,precondition_failed: line.state == 'RUN',0,395.17732081003487,1
50,10,0,27,1,REVOKE,precondition_failed: line.state == 'RUN',0,400.6833180319518,1
50,10,0,28,1,REVOKE,precondition_failed: line.state == 'RUN',0,426.55447497963905,1
50,10,0,29,1,REVOKE,precondition_failed: line.state == 'RUN',0,396.0611089132726,1
50,10,0,30,0,EXECUTE,published_after_gate_recheck,1,790.5079098418355,1
50,10,0,31,0,EXECUTE,published_after_gate_recheck,1,835.0309021770954,1
50,10,0,32,0,EXECUTE,published_after_gate_recheck,1,805.2950049750507,1
50,10,0,33,0,EXECUTE,published_after_gate_recheck,1,893.6003008857369,1
50,10,0,34,0,EXECUTE,published_after_gate_recheck,1,841.8206269852817,1
50,10,0,35,0,EXECUTE,published_after_gate_recheck,1,838.8942191377282,1
50,10,0,36,0,EXECUTE,published_after_gate_recheck,1,822.6118669845164,1
50,10,0,37,0,EXECUTE,published_after_gate_recheck,1,827.1670208778232,1
50,10,0,38,0,EXECUTE,published_after_gate_recheck,1,830.2293960005045,1
50,10,0,39,0,EXECUTE,published_after_gate_recheck,1,840.4453180264682,1
100,10,0,0,1,REVOKE,precondition_failed: line.state == 'RUN',0,812.0469099376351,1
