baseline,run,outcome,reason,gateway_released,stale_executed,ros_published,ros_observed,ros_witness_agrees,arm_delta,sim_motion,motion_witness_agrees,error,intent_age_at_submit_ms,campaign
xair,0,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0093,0,1,,208.8,3
xair,1,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0093,0,1,,210.9,3
xair,2,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0092,0,1,,206.9,3
xair,3,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0088,0,1,,216.0,3
xair,4,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0065,0,1,,213.0,3
xair,5,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0021,0,1,,210.2,3
xair,6,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0021,0,1,,212.2,3
xair,7,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.008,0,1,,236.2,3
xair,8,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0088,0,1,,213.2,3
xair,9,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0091,0,1,,211.4,3
xair,10,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0094,0,1,,232.6,3
xair,11,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0064,0,1,,207.5,3
xair,12,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0036,0,1,,218.5,3
xair,13,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0017,0,1,,259.4,3
xair,14,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0002,0,1,,209.7,3
xair,15,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0003,0,1,,211.8,3
xair,16,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0003,0,1,,230.4,3
xair,17,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0017,0,1,,215.4,3
xair,18,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0044,0,1,,232.6,3
xair,19,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0071,0,1,,213.3,3
xair,20,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0089,0,1,,212.0,3
xair,21,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0096,0,1,,206.6,3
xair,22,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0091,0,1,,209.6,3
xair,23,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0071,0,1,,210.3,3
xair,24,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0057,0,1,,212.2,3
xair,25,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.004,0,1,,228.1,3
xair,26,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0024,0,1,,209.1,3
xair,27,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0013,0,1,,211.9,3
xair,28,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0019,0,1,,210.9,3
xair,29,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.004,0,1,,209.7,3
direct,0,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2443,1,1,,206.6,3
direct,1,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2984,1,1,,206.1,3
direct,2,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3142,1,1,,211.1,3
direct,3,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2983,1,1,,211.8,3
direct,4,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3014,1,1,,209.8,3
direct,5,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3152,1,1,,207.9,3
direct,6,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.29,1,1,,206.6,3
direct,7,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.0,0,0,,212.8,3
direct,8,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3088,1,1,,208.2,3
direct,9,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3093,1,1,,208.4,3
direct,10,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3201,1,1,,228.4,3
direct,11,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3069,1,1,,211.0,3
direct,12,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3014,1,1,,205.7,3
direct,13,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2888,1,1,,206.1,3
direct,14,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3024,1,1,,206.8,3
direct,15,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3184,1,1,,219.9,3
direct,16,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.314,1,1,,206.1,3
direct,17,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3221,1,1,,205.5,3
direct,18,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3056,1,1,,210.1,3
direct,19,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.0,0,0,,208.0,3
direct,20,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2947,1,1,,206.0,3
direct,21,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3072,1,1,,205.4,3
direct,22,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3189,1,1,,210.2,3
direct,23,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.0,0,0,,211.3,3
direct,24,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.0,0,0,,230.3,3
direct,25,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2944,1,1,,206.9,3
direct,26,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3158,1,1,,206.1,3
direct,27,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3088,1,1,,205.4,3
direct,28,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2982,1,1,,229.3,3
direct,29,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.302,1,1,,211.4,3
naive,0,EXECUTE,naive_temporal_only,1,1,1,1,1,0.2892,1,1,,209.8,3
naive,1,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3077,1,1,,209.3,3
naive,2,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3206,1,1,,208.6,3
naive,3,EXECUTE,naive_temporal_only,1,1,1,1,1,0.2995,1,1,,213.9,3
naive,4,EXECUTE,naive_temporal_only,1,1,1,1,1,0.2965,1,1,,208.8,3
naive,5,EXECUTE,naive_temporal_only,1,1,1,1,1,0.0,0,0,,206.9,3
naive,6,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3132,1,1,,205.5,3
naive,7,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3203,1,1,,207.1,3
naive,8,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3055,1,1,,208.1,3
naive,9,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3104,1,1,,214.0,3
naive,10,EXECUTE,naive_temporal_only,1,1,1,1,1,0.3121,1,1,,206.4,3
naive,11,EXECUTE,naive_temporal_only,1,1,1,1,1,0.0004,0,0,,212.2,3
