run,seed,baseline,pause_ms,predicate_count,predicates_evaluated,source,drifted,expected_release,gateway_released,outcome,reason,correct,stale_executed,wrongful_revoke,validation_latency_ms
45,42,xair,356.07,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03734021447598934
46,42,xair,278.25,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1529068686068058
47,42,xair,347.04,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03319187089800835
48,42,xair,352.63,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.035836827009916306
49,42,xair,186.65,16,16,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.11657807044684887
50,42,xair,305.68,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03796094097197056
51,42,xair,153.85,2,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.040075043216347694
52,42,xair,159.76,2,2,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03757094964385033
53,42,xair,348.45,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03341306000947952
54,42,xair,115.04,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03524613566696644
55,42,xair,379.56,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.16844505444169044
56,42,xair,266.78,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.09530899114906788
57,42,xair,160.73,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.035256147384643555
58,42,xair,188.53,8,8,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.08627097122371197
59,42,xair,377.51,2,2,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03781984560191631
60,42,xair,398.63,2,2,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03420398570597172
61,42,xair,96.36,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03431411460042
62,42,xair,105.21,32,32,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1417661551386118
63,42,xair,395.53,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04285993054509163
64,42,xair,282.19,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.053770141676068306
65,42,xair,309.85,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05460204556584358
66,42,xair,301.16,4,4,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.04973309114575386
67,42,xair,137.89,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03705895505845547
68,42,xair,65.43,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.036638928577303886
69,42,xair,204.64,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03930390812456608
70,42,xair,380.77,4,4,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.056034885346889496
71,42,xair,253.88,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03017694689333439
72,42,xair,177.63,2,2,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.04550605081021786
73,42,xair,283.43,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06317906081676483
74,42,xair,312.32,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05221809260547161
