policy,delay_ms,push_notified,run,outcome,reason,gateway_released,stale_executed
local_stale,50,,0,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,1,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,2,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,3,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,4,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,5,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,6,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,7,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,8,EXECUTE,local_stale_guard_passed,1,1
local_stale,50,,9,EXECUTE,local_stale_guard_passed,1,1
local_push,50,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_push,50,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,50,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
