run,seed,baseline,pause_ms,predicate_count,predicates_evaluated,source,drifted,expected_release,gateway_released,outcome,reason,correct,stale_executed,wrongful_revoke,validation_latency_ms
0,7,xair,163.34,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.055995071306824684
1,7,xair,237.56,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07221591658890247
2,7,xair,125.14,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.05590403452515602
3,7,xair,81.75,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.050073955208063126
4,7,xair,128.13,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.11260109022259712
5,7,xair,67.36,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07013115100562572
6,7,xair,151.36,4,4,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.057057011872529984
7,7,xair,246.09,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05388096906244755
8,7,xair,115.75,2,2,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03857305273413658
9,7,xair,266.65,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03757001832127571
10,7,xair,159.95,32,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.028403010219335556
11,7,xair,328.03,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03194902092218399
12,7,xair,223.29,8,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04671700298786163
13,7,xair,393.06,2,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.05288911052048206
14,7,xair,169.72,16,16,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.09473809041082859
15,7,xair,77.17,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03863312304019928
16,7,xair,172.56,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.01784414052963257
17,7,xair,82.76,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.05586491897702217
18,7,xair,295.52,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04020519554615021
19,7,xair,185.03,8,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0672659371048212
20,7,xair,263.82,16,16,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.10164990089833736
21,7,xair,95.27,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05742814391851425
22,7,xair,223.78,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.075541902333498
