run,baseline,pause_ms,predicate_count,source,drifted,expected,outcome,correct,stale_executed,validation_latency_ms
0,xair,163.34,4,xr,1,REVOKE,REVOKE,1,0,0.20445301197469234
1,xair,237.56,8,mes,0,EXECUTE,EXECUTE,1,0,0.1262360019609332
2,xair,125.14,2,xr,1,REVOKE,REVOKE,1,0,0.07922900840640068
3,xair,81.75,16,ai,1,REVOKE,REVOKE,1,0,0.05620601586997509
4,xair,128.13,32,ai,0,EXECUTE,EXECUTE,1,0,0.27513597160577774
5,xair,67.36,4,ai,0,EXECUTE,EXECUTE,1,0,0.08681288454681635
6,xair,151.36,4,mes,0,EXECUTE,EXECUTE,1,0,0.07820699829608202
7,xair,246.09,4,ai,0,EXECUTE,EXECUTE,1,0,0.07212499622255564
8,xair,115.75,2,mes,0,EXECUTE,EXECUTE,1,0,0.06995105650275946
9,xair,266.65,16,mes,1,REVOKE,REVOKE,1,0,0.04918209742754698
10,xair,159.95,32,xr,1,REVOKE,REVOKE,1,0,0.06222701631486416
11,xair,328.03,4,ai,1,REVOKE,REVOKE,1,0,0.055112992413342
12,xair,223.29,8,mes,1,REVOKE,REVOKE,1,0,0.05143694579601288
13,xair,393.06,2,mes,1,REVOKE,REVOKE,1,0,0.04594610072672367
14,xair,169.72,16,xr,0,EXECUTE,EXECUTE,1,0,0.10429602116346359
15,xair,77.17,32,mes,1,REVOKE,REVOKE,1,0,0.04273105878382921
16,xair,172.56,16,mes,1,REVOKE,REVOKE,1,0,0.0700709642842412
17,xair,82.76,8,xr,1,REVOKE,REVOKE,1,0,0.05271902773529291
18,xair,295.52,32,mes,1,REVOKE,REVOKE,1,0,0.04941294901072979
19,xair,185.03,8,ai,1,REVOKE,REVOKE,1,0,0.05268899258226156
20,xair,263.82,16,ai,0,EXECUTE,EXECUTE,1,0,0.11539610568434
21,xair,95.27,4,xr,0,EXECUTE,EXECUTE,1,0,0.09078008588403463
22,xair,223.78,4,xr,0,EXECUTE,EXECUTE,1,0,0.0672750174999237
23,xair,359.18,16,mes,0,EXECUTE,EXECUTE,1,0,0.13165606651455164
24,xair,395.26,16,ai,1,REVOKE,REVOKE,1,0,0.05061493720859289
25,xair,102.95,4,ai,0,EXECUTE,EXECUTE,1,0,0.07017096504569054
26,xair,113.82,8,ai,1,REVOKE,REVOKE,1,0,0.06648502312600613
27,xair,179.24,32,xr,0,EXECUTE,EXECUTE,1,0,0.14878902584314346
28,xair,230.42,32,mes,1,REVOKE,REVOKE,1,0,0.05015404894948006
29,xair,354.84,32,xr,1,REVOKE,REVOKE,1,0,0.041007064282894135
30,xair,86.24,16,ai,1,REVOKE,REVOKE,1,0,0.04803994670510292
31,xair,123.07,4,ai,0,EXECUTE,EXECUTE,1,0,0.07095304317772388
32,xair,85.83,32,ai,1,REVOKE,REVOKE,1,0,0.03880297299474478
33,xair,177.26,2,ai,0,EXECUTE,EXECUTE,1,0,0.07935892790555954
34,xair,101.99,8,xr,1,REVOKE,REVOKE,1,0,0.06036297418177128
35,xair,92.99,16,xr,1,REVOKE,REVOKE,1,0,0.058480072766542435
36,xair,80.06,2,mes,0,EXECUTE,EXECUTE,1,0,0.06594404112547636
37,xair,217.52,4,mes,1,REVOKE,REVOKE,1,0,0.0506050419062376
38,xair,383.21,8,ai,0,EXECUTE,EXECUTE,1,0,0.0945479841902852
39,xair,315.35,8,mes,0,EXECUTE,EXECUTE,1,0,0.07225596345961094
40,xair,141.39,8,ai,0,EXECUTE,EXECUTE,1,0,0.10098994243890047
