policy,delay_ms,push_notified,run,outcome,reason,stale_executed,stale_observed
local_stale,50,1,1,EXECUTE,local_stale_cache,1,1
local_stale,50,1,2,EXECUTE,local_stale_cache,1,1
local_stale,50,1,3,EXECUTE,local_stale_cache,1,1
local_stale,50,1,4,EXECUTE,local_stale_cache,1,1
local_stale,50,1,5,EXECUTE,local_stale_cache,1,1
local_stale,50,1,6,EXECUTE,local_stale_cache,1,1
local_stale,50,1,7,EXECUTE,local_stale_cache,1,1
local_stale,50,1,8,EXECUTE,local_stale_cache,1,1
local_stale,50,1,9,EXECUTE,local_stale_cache,1,1
local_push,50,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,50,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,100,1,0,EXECUTE,local_stale_cache,1,1
local_stale,100,1,1,EXECUTE,local_stale_cache,1,1
local_stale,100,1,2,EXECUTE,local_stale_cache,1,1
local_stale,100,1,3,EXECUTE,local_stale_cache,1,1
local_stale,100,1,4,EXECUTE,local_stale_cache,1,1
local_stale,100,1,5,EXECUTE,local_stale_cache,1,1
local_stale,100,1,6,EXECUTE,local_stale_cache,1,1
local_stale,100,1,7,EXECUTE,local_stale_cache,1,1
local_stale,100,1,8,EXECUTE,local_stale_cache,1,1
local_stale,100,1,9,EXECUTE,local_stale_cache,1,1
local_push,100,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,100,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,100,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,100,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,100,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,250,1,0,EXECUTE,local_stale_cache,1,1
local_stale,250,1,1,EXECUTE,local_stale_cache,1,1
local_stale,250,1,2,EXECUTE,local_stale_cache,1,1
local_stale,250,1,3,EXECUTE,local_stale_cache,1,1
local_stale,250,1,4,EXECUTE,local_stale_cache,1,1
local_stale,250,1,5,EXECUTE,local_stale_cache,1,1
local_stale,250,1,6,EXECUTE,local_stale_cache,1,1
local_stale,250,1,7,EXECUTE,local_stale_cache,1,1
local_stale,250,1,8,EXECUTE,local_stale_cache,1,1
local_stale,250,1,9,EXECUTE,local_stale_cache,1,1
local_push,250,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,250,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,250,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,250,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,250,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,500,1,0,EXECUTE,local_stale_cache,1,1
local_stale,500,1,1,EXECUTE,local_stale_cache,1,1
local_stale,500,1,2,EXECUTE,local_stale_cache,1,1
local_stale,500,1,3,EXECUTE,local_stale_cache,1,1
local_stale,500,1,4,EXECUTE,local_stale_cache,1,1
local_stale,500,1,5,EXECUTE,local_stale_cache,1,1
local_stale,500,1,6,EXECUTE,local_stale_cache,1,1
local_stale,500,1,7,EXECUTE,local_stale_cache,1,1
local_stale,500,1,8,EXECUTE,local_stale_cache,1,1
local_stale,500,1,9,EXECUTE,local_stale_cache,1,1
local_push,500,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,500,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,500,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,500,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,500,1,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
