baseline,run,outcome,unknown,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,context_obsolete,arm_delta,sim_motion,error
naive,21,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,22,EXECUTE,False,True,True,True,True,True,True,0.1515,True,
naive,23,EXECUTE,False,True,True,True,True,True,True,0.1446,True,
naive,24,EXECUTE,False,True,True,True,True,True,True,0.1426,True,
naive,25,EXECUTE,False,True,True,True,True,True,True,0.1568,True,
naive,26,EXECUTE,False,True,True,True,True,True,True,0.1491,True,
naive,27,EXECUTE,False,True,True,True,True,True,True,0.1507,True,
naive,28,EXECUTE,False,True,True,True,True,True,True,0.1503,True,
naive,29,EXECUTE,False,True,True,True,True,True,True,0.1504,True,
local,0,REVOKE,False,False,False,False,False,True,True,0.2166,True,
local,1,REVOKE,False,False,False,False,False,True,True,0.0146,False,
local,2,REVOKE,False,False,False,False,False,True,True,0.0071,False,
local,3,REVOKE,False,False,False,False,False,True,True,0.0056,False,
local,4,REVOKE,False,False,False,False,False,True,True,0.0027,False,
local,5,REVOKE,False,False,False,False,False,True,True,0.0093,False,
local,6,REVOKE,False,False,False,False,False,True,True,0.0015,False,
local,7,REVOKE,False,False,False,False,False,True,True,0.0065,False,
local,8,REVOKE,False,False,False,False,False,True,True,0.0057,False,
local,9,REVOKE,False,False,False,False,False,True,True,0.0018,False,
local,10,REVOKE,False,False,False,False,False,True,True,0.0098,False,
local,11,REVOKE,False,False,False,False,False,True,True,0.0028,False,
local,12,REVOKE,False,False,False,False,False,True,True,0.0057,False,
local,13,REVOKE,False,False,False,False,False,True,True,0.007,False,
local,14,REVOKE,False,False,False,False,False,True,True,0.0012,False,
local,15,REVOKE,False,False,False,False,False,True,True,0.0093,False,
local,16,REVOKE,False,False,False,False,False,True,True,0.0032,False,
local,17,REVOKE,False,False,False,False,False,True,True,0.0049,False,
local,18,REVOKE,False,False,False,False,False,True,True,0.0083,False,
local,19,REVOKE,False,False,False,False,False,True,True,0.0012,False,
local,20,REVOKE,False,False,False,False,False,True,True,0.007,False,
local,21,REVOKE,False,False,False,False,False,True,True,0.0064,False,
local,22,REVOKE,False,False,False,False,False,True,True,0.0022,False,
local,23,REVOKE,False,False,False,False,False,True,True,0.0096,False,
local,24,REVOKE,False,False,False,False,False,True,True,0.0018,False,
local,25,REVOKE,False,False,False,False,False,True,True,0.0065,False,
local,26,REVOKE,False,False,False,False,False,True,True,0.0062,False,
local,27,REVOKE,False,False,False,False,False,True,True,0.002,False,
local,28,REVOKE,False,False,False,False,False,True,True,0.0093,False,
local,29,REVOKE,False,False,False,False,False,True,True,0.0023,False,
