run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
38,1,30.0,50.0,1,53.28193190507591,,,2.3033160250633955,32.66556595917791,36.79132694378495,55.5852479301393,1,0,0,REVOKE,context_version_changed_at_publish
39,1,30.0,50.0,1,53.806193987838924,,,3.0160319292917848,33.388861920684576,37.93740598484874,56.82222591713071,1,0,0,REVOKE,context_version_changed_at_publish
40,1,40.0,50.0,1,54.227833985351026,,,3.061056020669639,43.408598052337766,47.217876999638975,57.288890006020665,1,0,0,REVOKE,context_version_changed_at_publish
41,1,40.0,50.0,1,54.99371897894889,,,4.015565034933388,44.5191590115428,48.38430299423635,59.00928401388228,1,0,0,REVOKE,context_version_changed_at_publish
42,1,40.0,50.0,1,53.355839918367565,,,4.132836009375751,44.45700300857425,51.071670022793114,57.488675927743316,1,0,0,REVOKE,context_version_changed_at_publish
43,1,40.0,50.0,1,52.97762202098966,,,3.8080370286479592,44.1499890293926,48.614856088534,56.785659049637616,1,0,0,REVOKE,context_version_changed_at_publish
44,0,0,50.0,,53.49468102212995,53.78560698591173,0.29092596378177404,2.510985010303557,,,56.00566603243351,0,1,0,EXECUTE,published_after_gate_recheck
45,1,40.0,50.0,1,53.05797199252993,,,2.4650990962982178,42.80444607138634,47.11341205984354,55.52307108882815,1,0,0,REVOKE,context_version_changed_at_publish
46,1,40.0,50.0,1,52.66805202700198,,,3.050926956348121,43.39281900320202,47.57696099113673,55.7189789833501,1,0,0,REVOKE,context_version_changed_at_publish
47,1,40.0,50.0,1,53.132461034692824,,,3.6861069966107607,44.00473507121205,48.68994501885027,56.818568031303585,1,0,0,REVOKE,context_version_changed_at_publish
48,1,40.0,50.0,1,52.633294952102005,,,2.5500000920146704,42.878015083260834,46.78002803120762,55.183295044116676,1,0,0,REVOKE,context_version_changed_at_publish
49,0,0,50.0,,53.36609901860356,53.63204807508737,0.2659490564838052,2.229297999292612,,,55.595397017896175,0,1,0,EXECUTE,published_after_gate_recheck
50,0,0,50.0,,53.44129994045943,53.7580429809168,0.3167430404573679,2.3465780541300774,,,55.78787799458951,0,1,0,EXECUTE,published_after_gate_recheck
51,1,40.0,50.0,1,52.71827592514455,,,2.7616150910034776,43.16546302288771,47.10254108067602,55.47989101614803,1,0,0,REVOKE,context_version_changed_at_publish
52,0,0,50.0,,53.27033996582031,53.505691001191735,0.23535103537142277,2.901536994613707,,,56.17187696043402,0,1,0,EXECUTE,published_after_gate_recheck
53,1,40.0,50.0,1,52.81722103245556,,,1.8249900313094258,42.059511062689126,46.96968197822571,54.64221106376499,1,0,0,REVOKE,context_version_changed_at_publish
54,1,40.0,50.0,1,52.543508005328476,,,2.5374750839546323,42.875240091234446,46.98190605267882,55.08098308928311,1,0,0,REVOKE,context_version_changed_at_publish
55,1,40.0,50.0,1,53.338277037255466,,,3.18400701507926,43.47976099234074,47.57648904342204,56.522284052334726,1,0,0,REVOKE,context_version_changed_at_publish
56,1,40.0,50.0,1,53.24527306947857,,,2.7863909490406513,43.1710840202868,46.859945985488594,56.03166401851922,1,0,0,REVOKE,context_version_changed_at_publish
57,1,40.0,50.0,1,52.698206971399486,,,4.2037880048155785,44.496977934613824,49.188109929673374,56.901994976215065,1,0,0,REVOKE,context_version_changed_at_publish
58,0,0,50.0,,53.492065984755754,53.81465994287282,0.3225939581170678,2.7363280532881618,,,56.228394038043916,0,1,0,EXECUTE,published_after_gate_recheck
59,0,0,50.0,,53.218803950585425,53.51161293219775,0.2928089816123247,2.527915989048779,,,55.746719939634204,0,1,0,EXECUTE,published_after_gate_recheck
60,1,40.0,50.0,1,52.50655906274915,,,3.4622879466041923,43.82868600077927,47.465139999985695,55.96884700935334,1,0,0,REVOKE,context_version_changed_at_publish
61,0,0,50.0,,53.478549933061004,53.81148401647806,0.332934083417058,2.047507092356682,,,55.526057025417686,0,1,0,EXECUTE,published_after_gate_recheck
62,0,0,50.0,,52.6842309627682,52.985676913522184,0.30144595075398684,2.051074057817459,,,54.735305020585656,0,1,0,EXECUTE,published_after_gate_recheck
