scenario,run,baseline,seed,outcome,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,obsolete_intent,correct_revoke,validation_latency_ms,e2e_latency_ms,pause_ms,freshness_ms
e1b,55,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.073857933282852,400,500
e1b,56,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.404382986947894,400,500
e1b,57,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.008195035159588,400,500
e1b,58,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.839268021285534,400,500
e1b,59,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0656429696828127,400,500
e1b,60,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9896699814125896,400,500
e1b,61,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4139610575512052,400,500
e1b,62,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8937799613922834,400,500
e1b,63,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5323429834097624,400,500
e1b,64,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0066830329596996,400,500
e1b,65,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9043510546907783,400,500
e1b,66,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.436619019135833,400,500
e1b,67,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.941078924573958,400,500
e1b,68,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.2089510457590222,400,500
e1b,69,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8527540378272533,400,500
e1b,70,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8889219500124454,400,500
e1b,71,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.034404897131026,400,500
e1b,72,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9392060348764062,400,500
e1b,73,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6162010142579675,400,500
e1b,74,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.284853020682931,400,500
e1b,75,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8400789704173803,400,500
e1b,76,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.020997926592827,400,500
e1b,77,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4127189060673118,400,500
e1b,78,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7918500816449523,400,500
e1b,79,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9938580226153135,400,500
e1b,80,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9864540081471205,400,500
e1b,81,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.689697033725679,400,500
e1b,82,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5834380174055696,400,500
e1b,83,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5854029916226864,400,500
e1b,84,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6953690210357308,400,500
e1b,85,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4825599500909448,400,500
e1b,86,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.238707966171205,400,500
e1b,87,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.96410296484828,400,500
e1b,88,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.664370996877551,400,500
e1b,89,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,3.328680992126465,400,500
e1b,90,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.833367976360023,400,500
e1b,91,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8607990350574255,400,500
e1b,92,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.497377990745008,400,500
