error,fault,http_status,outcome,pass,run
,duplicate_id,,EXECUTE,True,7
,clock_skew_past,,REVOKE,True,7
,clock_skew_future,,EXECUTE,True,7
,clock_skew_far_future,,REVOKE,True,7
,duplicate_id,,EXECUTE,True,8
,clock_skew_past,,REVOKE,True,8
,clock_skew_future,,EXECUTE,True,8
,clock_skew_far_future,,REVOKE,True,8
,duplicate_id,,EXECUTE,True,9
,clock_skew_past,,REVOKE,True,9
,clock_skew_future,,EXECUTE,True,9
,clock_skew_far_future,,REVOKE,True,9
,duplicate_id,,EXECUTE,True,10
,clock_skew_past,,REVOKE,True,10
,clock_skew_future,,EXECUTE,True,10
,clock_skew_far_future,,REVOKE,True,10
,duplicate_id,,EXECUTE,True,11
,clock_skew_past,,REVOKE,True,11
,clock_skew_future,,EXECUTE,True,11
,clock_skew_far_future,,REVOKE,True,11
,duplicate_id,,EXECUTE,True,12
,clock_skew_past,,REVOKE,True,12
,clock_skew_future,,EXECUTE,True,12
,clock_skew_far_future,,REVOKE,True,12
,duplicate_id,,EXECUTE,True,13
,clock_skew_past,,REVOKE,True,13
,clock_skew_future,,EXECUTE,True,13
,clock_skew_far_future,,REVOKE,True,13
,duplicate_id,,EXECUTE,True,14
,clock_skew_past,,REVOKE,True,14
,clock_skew_future,,EXECUTE,True,14
,clock_skew_far_future,,REVOKE,True,14
,duplicate_id,,EXECUTE,True,15
,clock_skew_past,,REVOKE,True,15
,clock_skew_future,,EXECUTE,True,15
,clock_skew_far_future,,REVOKE,True,15
,duplicate_id,,EXECUTE,True,16
,clock_skew_past,,REVOKE,True,16
,clock_skew_future,,EXECUTE,True,16
,clock_skew_far_future,,REVOKE,True,16
,duplicate_id,,EXECUTE,True,17
,clock_skew_past,,REVOKE,True,17
,clock_skew_future,,EXECUTE,True,17
,clock_skew_far_future,,REVOKE,True,17
,duplicate_id,,EXECUTE,True,18
,clock_skew_past,,REVOKE,True,18
,clock_skew_future,,EXECUTE,True,18
,clock_skew_far_future,,REVOKE,True,18
,duplicate_id,,EXECUTE,True,19
,clock_skew_past,,REVOKE,True,19
,clock_skew_future,,EXECUTE,True,19
,clock_skew_far_future,,REVOKE,True,19
,duplicate_id,,EXECUTE,True,20
,clock_skew_past,,REVOKE,True,20
,clock_skew_future,,EXECUTE,True,20
,clock_skew_far_future,,REVOKE,True,20
,duplicate_id,,EXECUTE,True,21
,clock_skew_past,,REVOKE,True,21
,clock_skew_future,,EXECUTE,True,21
,clock_skew_far_future,,REVOKE,True,21
,duplicate_id,,EXECUTE,True,22
,clock_skew_past,,REVOKE,True,22
,clock_skew_future,,EXECUTE,True,22
,clock_skew_far_future,,REVOKE,True,22
,duplicate_id,,EXECUTE,True,23
,clock_skew_past,,REVOKE,True,23
,clock_skew_future,,EXECUTE,True,23
,clock_skew_far_future,,REVOKE,True,23
,duplicate_id,,EXECUTE,True,24
,clock_skew_past,,REVOKE,True,24
,clock_skew_future,,EXECUTE,True,24
,clock_skew_far_future,,REVOKE,True,24
,duplicate_id,,EXECUTE,True,25
,clock_skew_past,,REVOKE,True,25
,clock_skew_future,,EXECUTE,True,25
,clock_skew_far_future,,REVOKE,True,25
,duplicate_id,,EXECUTE,True,26
,clock_skew_past,,REVOKE,True,26
,clock_skew_future,,EXECUTE,True,26
,clock_skew_far_future,,REVOKE,True,26
,duplicate_id,,EXECUTE,True,27
,clock_skew_past,,REVOKE,True,27
,clock_skew_future,,EXECUTE,True,27
,clock_skew_far_future,,REVOKE,True,27
,duplicate_id,,EXECUTE,True,28
,clock_skew_past,,REVOKE,True,28
,clock_skew_future,,EXECUTE,True,28
,clock_skew_far_future,,REVOKE,True,28
,duplicate_id,,EXECUTE,True,29
,clock_skew_past,,REVOKE,True,29
,clock_skew_future,,EXECUTE,True,29
,clock_skew_far_future,,REVOKE,True,29
